Unnamed: 0,Measurement Basis,TT,TR,RT,RR,T,R
0,H,269,77771,599,63846,868,141617
1,D,34817,38814,47942,31619,82759,70433
2,R,34990,38283,50519,30260,85509,68543
3,V,68644,460,91511,1120,160155,1580
4,A,33832,40505,45682,34212,79514,74717
5,L,33326,41583,45430,34167,78756,75750
