,Measurement Basis,TT,TR,RT,RR
0,H,32617,29365,27484,28044
1,D,24602,36748,35966,20784
2,R,1069,59602,1516,53280
3,V,30593,31751,30384,25420
4,A,38123,23733,21570,34142
5,L,62110,1161,56193,1126
