data_dir,C,SB,DB_V,DB_H,N
2025-06-03--11h-40m-23s,43.0,35.0,74.0,8.0,160.0
2025-06-03--11h-40m-23s,30.0,40.0,72.0,18.0,160.0
2025-06-03--11h-40m-23s,32.0,34.0,79.0,15.0,160.0
2025-06-03--11h-40m-23s,39.0,38.0,67.0,16.0,160.0
2025-06-03--11h-40m-23s,35.0,31.0,76.0,18.0,160.0
2025-06-03--11h-40m-23s,35.0,34.0,80.0,11.0,160.0
2025-06-03--11h-40m-23s,27.0,34.0,83.0,16.0,160.0
2025-06-03--11h-40m-23s,38.0,36.0,73.0,13.0,160.0
2025-06-03--11h-40m-23s,42.0,31.0,67.0,20.0,160.0
2025-06-03--11h-40m-23s,34.0,37.0,71.0,18.0,160.0
2025-06-03--11h-40m-23s,40.0,26.0,77.0,17.0,160.0
2025-06-03--11h-40m-23s,41.0,39.0,69.0,11.0,160.0
2025-06-03--11h-40m-23s,36.0,49.0,65.0,10.0,160.0
2025-06-03--11h-40m-23s,34.0,34.0,78.0,14.0,160.0
2025-06-03--11h-40m-23s,25.0,36.0,83.0,16.0,160.0
2025-06-03--11h-40m-23s,39.0,39.0,69.0,13.0,160.0
2025-06-03--11h-40m-23s,36.0,37.0,72.0,15.0,160.0
2025-06-03--11h-40m-23s,30.0,45.0,64.0,21.0,160.0
2025-06-03--11h-40m-23s,28.0,46.0,70.0,16.0,160.0
2025-06-03--11h-40m-23s,38.0,30.0,77.0,15.0,160.0
2025-06-03--11h-40m-23s,33.0,43.0,79.0,5.0,160.0
2025-06-03--11h-40m-23s,44.0,28.0,76.0,12.0,160.0
2025-06-03--11h-40m-23s,41.0,33.0,77.0,9.0,160.0
2025-06-03--11h-40m-23s,34.0,40.0,74.0,12.0,160.0
2025-06-03--11h-40m-23s,26.0,35.0,82.0,17.0,160.0
2025-06-03--11h-40m-23s,30.0,28.0,86.0,16.0,160.0
2025-06-03--11h-40m-23s,47.0,29.0,69.0,15.0,160.0
2025-06-03--11h-40m-23s,37.0,40.0,65.0,18.0,160.0
2025-06-03--11h-40m-23s,34.0,35.0,66.0,25.0,160.0
2025-06-03--11h-40m-23s,33.0,29.0,79.0,19.0,160.0
2025-06-03--11h-40m-23s,30.0,27.0,84.0,19.0,160.0
2025-06-03--11h-40m-23s,33.0,35.0,79.0,13.0,160.0
2025-06-03--11h-40m-23s,34.0,43.0,72.0,11.0,160.0
2025-06-03--11h-40m-23s,27.0,42.0,72.0,19.0,160.0
2025-06-03--11h-40m-23s,42.0,39.0,64.0,15.0,160.0
2025-06-03--11h-40m-23s,35.0,36.0,75.0,14.0,160.0
2025-06-03--11h-40m-23s,36.0,42.0,62.0,20.0,160.0
2025-06-03--11h-40m-23s,36.0,31.0,73.0,20.0,160.0
2025-06-03--11h-40m-23s,33.0,41.0,67.0,19.0,160.0
2025-06-03--11h-40m-23s,36.0,34.0,71.0,19.0,160.0
2025-06-03--11h-40m-23s,33.0,32.0,84.0,11.0,160.0
2025-06-03--11h-40m-23s,34.0,39.0,71.0,16.0,160.0
2025-06-03--11h-40m-23s,27.0,47.0,76.0,10.0,160.0
2025-06-03--11h-40m-23s,37.0,30.0,78.0,15.0,160.0
2025-06-03--11h-40m-23s,31.0,38.0,80.0,11.0,160.0
2025-06-03--11h-40m-23s,30.0,35.0,85.0,10.0,160.0
2025-06-03--11h-40m-23s,39.0,32.0,69.0,20.0,160.0
2025-06-03--11h-40m-23s,32.0,35.0,77.0,16.0,160.0
2025-06-03--11h-40m-23s,33.0,28.0,82.0,17.0,160.0
2025-06-03--11h-40m-23s,31.0,49.0,64.0,16.0,160.0
2025-06-03--11h-40m-23s,25.0,44.0,74.0,17.0,160.0
2025-06-03--11h-40m-23s,37.0,31.0,80.0,12.0,160.0
2025-06-03--11h-40m-23s,36.0,38.0,63.0,23.0,160.0
2025-06-03--11h-40m-23s,34.0,37.0,71.0,18.0,160.0
2025-06-03--11h-40m-23s,31.0,35.0,81.0,13.0,160.0
2025-06-03--11h-40m-23s,29.0,43.0,74.0,14.0,160.0
2025-06-03--11h-40m-23s,32.0,38.0,75.0,15.0,160.0
2025-06-03--11h-40m-23s,42.0,26.0,71.0,21.0,160.0
2025-06-03--11h-40m-23s,32.0,30.0,77.0,21.0,160.0
2025-06-03--11h-40m-23s,33.0,36.0,72.0,19.0,160.0
2025-06-03--11h-40m-23s,21.0,43.0,76.0,20.0,160.0
2025-06-03--11h-40m-23s,32.0,38.0,67.0,23.0,160.0
2025-06-03--11h-40m-23s,24.0,36.0,86.0,14.0,160.0
2025-06-03--11h-40m-23s,36.0,28.0,77.0,19.0,160.0
2025-06-03--11h-40m-23s,42.0,37.0,65.0,16.0,160.0
2025-06-03--11h-40m-23s,36.0,30.0,77.0,17.0,160.0
2025-06-03--11h-40m-23s,35.0,36.0,75.0,14.0,160.0
2025-06-03--11h-40m-23s,37.0,37.0,72.0,14.0,160.0
2025-06-03--11h-40m-23s,25.0,42.0,78.0,15.0,160.0
2025-06-03--11h-40m-23s,34.0,32.0,72.0,22.0,160.0
2025-06-03--11h-40m-23s,28.0,40.0,68.0,24.0,160.0
2025-06-03--11h-40m-23s,35.0,40.0,73.0,12.0,160.0
2025-06-03--11h-40m-23s,29.0,37.0,79.0,15.0,160.0
2025-06-03--11h-40m-23s,37.0,33.0,72.0,18.0,160.0
2025-06-03--11h-40m-23s,35.0,37.0,73.0,15.0,160.0
2025-06-03--11h-40m-23s,41.0,34.0,76.0,9.0,160.0
2025-06-03--11h-40m-23s,35.0,39.0,74.0,12.0,160.0
2025-06-03--11h-40m-23s,27.0,39.0,79.0,15.0,160.0
2025-06-03--11h-40m-23s,32.0,32.0,85.0,11.0,160.0
2025-06-03--11h-40m-23s,42.0,30.0,68.0,20.0,160.0
2025-06-03--11h-40m-23s,33.0,27.0,88.0,12.0,160.0
2025-06-03--11h-40m-23s,36.0,37.0,67.0,20.0,160.0
2025-06-03--11h-40m-23s,38.0,30.0,79.0,13.0,160.0
2025-06-03--11h-40m-23s,42.0,28.0,76.0,14.0,160.0
2025-06-03--11h-40m-23s,37.0,32.0,76.0,15.0,160.0
2025-06-03--11h-40m-23s,23.0,44.0,77.0,16.0,160.0
2025-06-03--11h-40m-23s,40.0,29.0,78.0,13.0,160.0
2025-06-03--11h-40m-23s,45.0,31.0,72.0,12.0,160.0
2025-06-03--11h-40m-23s,28.0,37.0,76.0,19.0,160.0
2025-06-03--11h-40m-23s,39.0,33.0,78.0,10.0,160.0
2025-06-03--11h-40m-23s,29.0,41.0,74.0,16.0,160.0
2025-06-03--11h-40m-23s,31.0,40.0,71.0,18.0,160.0
2025-06-03--11h-40m-23s,38.0,32.0,73.0,17.0,160.0
2025-06-03--11h-40m-23s,49.0,28.0,71.0,12.0,160.0
2025-06-03--11h-40m-23s,27.0,41.0,70.0,22.0,160.0
2025-06-03--11h-40m-23s,37.0,32.0,77.0,14.0,160.0
