Unnamed: 0,Measurement Basis,TT,TR,RT,RR,T,R
0,H,70835,75250,87623,66712,158458,141962
1,D,74377,73406,50573,97161,124950,170567
2,R,146000,531,165210,8540,311210,9071
3,V,73902,73037,88159,68631,162061,141668
4,A,69545,77358,127664,37731,197209,115089
5,L,358,148288,13824,126722,14182,275010
