,Measurement Basis,TT,TR,RT,RR
0,H,111047,17615,108776,15882
1,D,83138,46204,60941,52753
2,R,103962,25860,109443,18055
3,V,17499,112038,21170,81017
4,A,44957,84318,66019,48701
5,L,25163,105146,17832,85927
