Unnamed: 0,Measurement Basis,TT,TR,RT,RR,T,R
0,H,371,57309,446,54939,817,112248
1,D,30446,28654,30314,26744,60760,55398
2,R,31339,27462,32132,24756,63471,52218
3,V,60165,533,57418,344,117583,877
4,A,29612,29191,29202,27394,58814,56585
5,L,28376,30568,28303,28372,56679,58940
