angle,singles,coincidences
0.0,19435.0,3995
9.0,19945.0,4244
18.0,19326.0,3954
27.0,17646.0,3577
36.0,14496.0,2985
45.0,12132.0,2371
54.0,11138.0,2203
63.0,12041.0,2510
72.0,14443.0,2911
81.0,17207.0,3479
90.0,19466.0,4130
99.0,20405.0,4244
108.0,19330.0,4071
117.0,17318.0,3553
126.0,14092.0,2727
135.0,11779.0,2410
144.0,10747.0,2084
153.0,11841.0,2376
162.0,14317.0,2920
171.0,16962.0,3490
180.0,19324.0,4045
17.808589622720604,19453.0,4099
18.308589622720604,19391.0,4113
18.808589622720604,19143.0,4012
19.308589622720604,19354.0,3974
19.808589622720604,19229.0,4109
20.308589622720604,19047.0,3949
20.808589622720604,19057.0,3981
21.308589622720604,18883.0,4033
21.808589622720604,18693.0,3817
22.308589622720604,18801.0,3923
