Unnamed: 0,Measurement Basis,TT,TR,RT,RR,T,R
0,H,5175,112604,6543,92199,11718,204803
1,D,81283,38194,95291,30312,176574,68506
2,R,52120,67152,76479,44943,128599,112095
3,V,113110,5109,131191,3507,244301,8616
4,A,37482,80441,43996,67267,81478,147708
5,L,67187,51497,65273,52172,132460,103669
