,Measurement Basis,TT,TR,RT,RR
0,H,5175,112604,6543,92199
1,D,81283,38194,95291,30312
2,R,52120,67152,76479,44943
3,V,113110,5109,131191,3507
4,A,37482,80441,43996,67267
5,L,67187,51497,65273,52172
