Unnamed: 0,Measurement Basis,TT,TR,RT,RR,T,R
0,H,76920,453,88048,1183,164968,1636
1,D,38141,46074,41646,36012,79787,82086
2,R,38766,46075,41220,36774,79986,82849
3,V,225,89540,541,64669,766,154209
4,A,38520,45128,43980,33588,82500,78716
5,L,37717,45515,42733,34677,80450,80192
