,Measurement Basis,TT,TR,RT,RR
0,H,65106,545,64676,395
1,D,32149,31772,30792,34953
2,R,31192,33057,28646,37002
3,V,409,61239,502,65608
4,A,33410,30097,32345,33800
5,L,34444,29503,33893,32593
