,Measurement Basis,TT,TR,RT,RR
0,H,131015,472,130572,1183
1,D,65390,67251,61052,53306
2,R,66611,67120,61218,54540
3,V,288,132823,733,96538
4,A,65969,66036,64961,49741
5,L,65607,66959,63524,50986
