Unnamed: 0,Measurement Basis,TT,TR,RT,RR,T,R
0,H,341,114603,734,95169,1075,209772
1,D,58715,57163,70385,47437,129100,104600
2,R,61207,55543,75069,44410,136276,99953
3,V,115516,531,133021,1205,248537,1736
4,A,57545,59671,67348,49608,124893,109279
5,L,56928,62202,66275,51220,123203,113422
