,Measurement Basis,TT,TR,RT,RR
0,H,6083,144564,10540,125890
1,D,75452,74589,78883,76253
2,R,102988,46885,125692,39387
3,V,140923,6308,167891,6926
4,A,71684,78080,102498,56491
5,L,45685,106018,61209,90878
