,basis,TT,TR,RT,RR
0,ZZ,22203,22,16,0
1,ZX,10139,12145,8,14
2,ZY,10186,11977,5,10
3,XZ,10970,11,10634,10
4,XX,5333,6163,5052,5627
5,XY,5183,5799,4926,5815
6,YZ,11020,13,10427,10
7,YX,5095,6142,4806,5808
8,YY,5158,5983,4865,5709
