,Measurement Basis,TT,TR,RT,RR
0,H,32518,29463,27117,28231
1,D,25147,36621,35668,20569
2,R,1071,59605,1542,53360
3,V,30509,31537,30418,25369
4,A,38378,23768,21458,34021
5,L,62065,1227,55450,1141
