data_dir,repetition,C,DB_H,DB_V,SB,N
2025-05-28--11h-40m-23s,83,0.0,1.0,4.0,1.5,6.5
2025-05-28--11h-40m-23s,84,0.0,0.0,0.0,2.0,2.0
2025-05-28--11h-40m-23s,85,0.0,0.0,4.0,1.5,5.5
2025-05-28--11h-40m-23s,86,0.0,0.0,1.0,3.0,4.0
2025-05-28--11h-40m-23s,87,0.0,0.0,5.0,1.0,6.0
2025-05-28--11h-40m-23s,88,0.0,1.0,1.0,2.5,4.5
2025-05-28--11h-40m-23s,89,0.5,2.0,1.0,2.0,5.5
2025-05-28--11h-40m-23s,90,0.0,1.0,0.0,3.0,4.0
2025-05-28--11h-40m-23s,91,0.0,0.0,1.0,3.0,4.0
2025-05-28--11h-40m-23s,92,0.5,1.0,3.0,1.5,6.0
2025-05-28--11h-40m-23s,93,0.0,0.0,0.0,2.5,2.5
2025-05-28--11h-40m-23s,94,0.0,0.0,1.0,3.0,4.0
2025-05-28--11h-40m-23s,95,0.0,0.0,1.0,0.5,1.5
2025-05-28--11h-40m-23s,96,0.0,1.0,0.0,1.0,2.0
2025-05-28--11h-40m-23s,97,0.5,1.0,5.0,2.0,8.5
2025-05-28--11h-40m-23s,98,0.0,0.0,2.0,2.0,4.0
2025-05-28--11h-40m-23s,99,0.0,1.0,0.0,1.5,2.5
2025-05-28--11h-40m-23s,100,0.0,0.0,0.0,3.0,3.0
2025-05-28--11h-40m-23s,101,0.0,0.0,3.0,0.5,3.5
2025-05-28--11h-40m-23s,102,0.0,1.0,6.0,2.0,9.0
2025-05-28--11h-40m-23s,103,0.0,0.0,2.0,1.0,3.0
2025-05-28--11h-40m-23s,104,0.5,0.0,2.0,3.0,5.5
2025-05-28--11h-40m-23s,105,0.0,0.0,2.0,2.5,4.5
2025-05-28--11h-40m-23s,106,0.0,1.0,2.0,3.0,6.0
2025-05-28--11h-40m-23s,107,0.0,0.0,3.0,0.0,3.0
2025-05-28--11h-40m-23s,108,0.0,0.0,1.0,2.0,3.0
2025-05-28--11h-40m-23s,109,0.0,1.0,1.0,1.0,3.0
2025-05-28--11h-40m-23s,110,0.0,0.0,1.0,3.0,4.0
2025-05-28--11h-40m-23s,111,0.0,0.0,3.0,0.5,3.5
2025-05-28--11h-40m-23s,112,0.0,0.0,4.0,2.0,6.0
2025-05-28--11h-40m-23s,113,0.0,2.0,3.0,1.0,6.0
2025-05-28--11h-40m-23s,114,0.0,0.0,1.0,1.5,2.5
2025-05-28--11h-40m-23s,115,0.5,0.0,0.0,2.0,2.5
2025-05-28--11h-40m-23s,116,0.0,0.0,0.0,0.5,0.5
2025-05-28--11h-40m-23s,117,0.0,0.0,2.0,0.5,2.5
2025-05-28--11h-40m-23s,118,0.0,0.0,4.0,4.0,8.0
2025-05-28--11h-40m-23s,119,0.0,2.0,2.0,2.5,6.5
2025-05-28--11h-40m-23s,120,0.0,0.0,1.0,2.0,3.0
2025-05-28--11h-40m-23s,121,0.0,1.0,0.0,1.0,2.0
2025-05-28--11h-40m-23s,122,0.0,1.0,1.0,1.0,3.0
2025-05-28--11h-40m-23s,123,0.0,0.0,4.0,1.0,5.0
2025-05-28--11h-40m-23s,124,0.0,0.0,2.0,1.0,3.0
