angle,singles,coincidences
0.0,23852.0,60
9.0,24566.0,216
18.0,29468.0,1127
27.0,35570.0,2369
36.0,41314.0,3532
45.0,45127.0,4176
54.0,44591.0,4111
63.0,40469.0,3256
72.0,33317.0,1929
81.0,27351.0,776
90.0,23772.0,73
99.0,24870.0,178
108.0,29242.0,1095
117.0,36041.0,2444
126.0,41876.0,3610
135.0,44601.0,4220
144.0,43741.0,4116
153.0,39838.0,3287
162.0,33382.0,1873
171.0,27099.0,735
180.0,23984.0,56
-2.063614142965257,23769.0,22
-1.0636141429652568,24424.0,59
-0.0636141429652568,24524.0,62
0.9363858570347432,24082.0,46
1.9363858570347432,24122.0,15
2.936385857034743,24019.0,10
3.936385857034743,24016.0,21
4.936385857034743,23929.0,36
5.936385857034743,24166.0,64
6.936385857034743,23927.0,80
7.936385857034743,24767.0,140
42.93638585703474,44734.0,4153
44.60305252370141,44889.0,4304
46.26971919036808,45130.0,4333
47.93638585703474,45447.0,4239
49.60305252370141,45934.0,4270
51.26971919036808,45169.0,4230
52.93638585703474,44836.0,4139
20.436385857034743,30734.0,1429
22.936385857034743,32319.0,1685
25.436385857034743,34191.0,2155
27.936385857034743,35687.0,2489
30.436385857034743,37901.0,2825
