,Measurement Basis,TT,TR,RT,RR
0,H,97332,537,135498,1100
1,D,48771,59305,64675,56615
2,R,46886,61165,60273,61109
3,V,281,115298,708,104266
4,A,48485,58771,66038,55466
5,L,50428,57664,68277,54082
