,Measurement Basis,TT,TR,RT,RR
0,H,31958,29815,27153,28553
1,D,36621,25593,20532,35326
2,R,62280,930,55762,1580
3,V,30859,30658,29471,26365
4,A,25868,35368,36310,19639
5,L,850,59981,1667,53701
