,Measurement Basis,TT,TR,RT,RR
0,H,57822,58496,67972,52996
1,D,84050,31357,63991,54074
2,R,108891,7439,130918,1255
3,V,58775,55406,66287,52630
4,A,30217,82132,66309,53244
5,L,7443,104995,715,105697
