data_dir,C,DB_H,DB_V,SB,N,theta_estimate,delta_phi_estimate
2025-05-23--17h-58m-27s,0.0,25.0,1.0,14.0,40.0,0.9272952180016122,0.0
2025-05-23--17h-58m-27s,1.0,27.0,1.0,11.0,40.0,0.863211890069541,0.2928427717285755
2025-05-23--17h-58m-27s,0.0,28.0,1.0,11.0,40.0,0.8298316245918765,0.0
2025-05-23--17h-58m-27s,0.0,33.0,1.0,6.0,40.0,0.6435011087932843,0.0
2025-05-23--17h-58m-27s,0.5,24.0,2.0,13.5,40.0,0.9884320889261531,0.19012560334646678
2025-05-23--17h-58m-27s,0.5,23.0,2.0,14.5,40.0,1.0180812136981134,0.18360401027891857
2025-05-23--17h-58m-27s,2.0,24.0,1.0,13.0,40.0,0.9581921787462742,0.37379217483451044
2025-05-23--17h-58m-27s,1.5,31.0,1.0,6.5,40.0,0.7227342478134156,0.4478323969289325
2025-05-23--17h-58m-27s,0.0,29.0,0.0,11.0,40.0,0.759761932507315,0.0
2025-05-23--17h-58m-27s,0.0,29.0,3.0,8.0,40.0,0.863211890069541,0.0
2025-05-23--17h-58m-27s,0.0,30.0,1.0,9.0,40.0,0.759761932507315,0.0
2025-05-23--17h-58m-27s,1.0,27.0,2.0,10.0,40.0,0.8956647938578649,0.30627736916966947
2025-05-23--17h-58m-27s,0.5,28.0,2.0,9.5,40.0,0.863211890069541,0.2255134058981312
2025-05-23--17h-58m-27s,0.0,26.0,2.0,12.0,40.0,0.9272952180016122,0.0
2025-05-23--17h-58m-27s,0.5,27.0,2.0,10.5,40.0,0.8956647938578649,0.21484983307571223
2025-05-23--17h-58m-27s,0.5,29.0,1.0,9.5,40.0,0.7953988301841436,0.2255134058981312
2025-05-23--17h-58m-27s,0.0,21.0,1.0,18.0,40.0,1.0471975511965976,0.0
2025-05-23--17h-58m-27s,0.0,27.0,3.0,10.0,40.0,0.9272952180016122,0.0
2025-05-23--17h-58m-27s,0.5,34.0,1.0,4.5,40.0,0.6005941268660511,0.3217505543966422
2025-05-23--17h-58m-27s,0.5,27.0,2.0,10.5,40.0,0.8956647938578649,0.21484983307571223
2025-05-23--17h-58m-27s,1.0,35.0,0.0,4.0,40.0,0.5053605102841573,0.4636476090008061
2025-05-23--17h-58m-27s,0.0,24.0,0.0,16.0,40.0,0.9272952180016122,0.0
2025-05-23--17h-58m-27s,0.5,27.0,2.0,10.5,40.0,0.8956647938578649,0.21484983307571223
2025-05-23--17h-58m-27s,1.5,29.0,3.0,6.5,40.0,0.863211890069541,0.4478323969289325
2025-05-23--17h-58m-27s,0.0,28.0,2.0,10.0,40.0,0.863211890069541,0.0
2025-05-23--17h-58m-27s,0.0,30.0,2.0,8.0,40.0,0.7953988301841436,0.0
2025-05-23--17h-58m-27s,0.0,26.0,3.0,11.0,40.0,0.9581921787462742,0.0
2025-05-23--17h-58m-27s,0.5,28.0,1.0,10.5,40.0,0.8298316245918765,0.21484983307571223
2025-05-23--17h-58m-27s,0.0,31.0,2.0,7.0,40.0,0.759761932507315,0.0
2025-05-23--17h-58m-27s,1.5,47.0,2.0,29.5,80.0,0.9733899101495465,0.22178440655788675
2025-05-23--17h-58m-27s,1.5,51.0,4.0,23.5,80.0,0.9428303421579484,0.24746706317044773
2025-05-23--17h-58m-27s,1.5,50.0,3.0,25.5,80.0,0.9428303421579484,0.23794112483020827
2025-05-23--17h-58m-27s,0.5,60.0,2.0,17.5,80.0,0.759761932507315,0.16744807921968932
2025-05-23--17h-58m-27s,1.5,54.0,4.0,20.5,80.0,0.8956647938578649,0.26417863214512494
2025-05-23--17h-58m-27s,0.5,55.0,4.0,20.5,80.0,0.879547290121527,0.15492231987081348
2025-05-23--17h-58m-27s,0.0,55.0,4.0,21.0,80.0,0.879547290121527,0.0
2025-05-23--17h-58m-27s,2.5,53.0,2.0,22.5,80.0,0.879547290121527,0.3217505543966422
2025-05-23--17h-58m-27s,1.5,54.0,3.0,21.5,80.0,0.879547290121527,0.2582375704234379
2025-05-23--17h-58m-27s,1.5,56.0,3.0,19.5,80.0,0.8466449633218115,0.2705497629785729
2025-05-23--17h-58m-27s,0.5,60.0,4.0,15.5,80.0,0.7953988301841436,0.17771060084511175
2025-05-23--17h-58m-27s,0.5,55.0,3.0,21.5,80.0,0.863211890069541,0.15133263697721575
2025-05-23--17h-58m-27s,1.0,58.0,0.0,21.0,80.0,0.759761932507315,0.21484983307571223
2025-05-23--17h-58m-27s,2.0,57.0,3.0,18.0,80.0,0.8298316245918765,0.3217505543966422
2025-05-23--17h-58m-27s,1.0,59.0,3.0,17.0,80.0,0.7953988301841436,0.23794112483020827
2025-05-23--17h-58m-27s,1.0,57.0,5.0,17.0,80.0,0.863211890069541,0.23794112483020827
2025-05-23--17h-58m-27s,1.0,57.0,2.0,20.0,80.0,0.8127555613686607,0.21998797739545944
2025-05-23--17h-58m-27s,2.0,59.0,4.0,15.0,80.0,0.8127555613686607,0.3501057777671455
2025-05-23--17h-58m-27s,1.5,57.0,3.0,18.5,80.0,0.8298316245918765,0.27740551649003575
2025-05-23--17h-58m-27s,0.5,59.0,1.0,19.5,80.0,0.759761932507315,0.15878021464576067
2025-05-23--17h-58m-27s,1.5,48.0,6.0,24.5,80.0,1.0180812136981134,0.24256387409548527
2025-05-23--17h-58m-27s,1.5,51.0,3.0,24.5,80.0,0.9272952180016122,0.24256387409548527
2025-05-23--17h-58m-27s,0.5,55.0,2.0,22.5,80.0,0.8466449633218115,0.14798146074878374
2025-05-23--17h-58m-27s,1.0,55.0,2.0,22.0,80.0,0.8466449633218115,0.21005573907123887
2025-05-23--17h-58m-27s,1.5,61.0,2.0,15.5,80.0,0.7414352895876503,0.30159570280483483
