Unnamed: 0,Measurement Basis,TT,TR,RT,RR,T,R
0,H,33113,28094,28099,27248,61212,55342
1,D,39337,22846,22867,32822,62204,55668
2,R,61696,1710,56585,982,118281,2692
3,V,29779,32230,28311,27009,58090,59239
4,A,23169,37811,33820,21719,56989,59530
5,L,1519,58130,1022,53892,2541,112022
