Unnamed: 0,Measurement Basis,TT,TR,RT,RR,T,R
0,H,45667,40179,47387,33019,93054,73198
1,D,82457,5157,90919,1008,173376,6165
2,R,25035,59661,47519,34529,72554,94190
3,V,41582,44168,49961,31586,91543,75754
4,A,5317,79616,798,70359,6115,149975
5,L,61351,24312,43760,36150,105111,60462
