,Measurement Basis,TT,TR,RT,RR
0,H,34642,27563,29240,26680
1,D,37615,24483,20878,34248
2,R,62460,1320,55554,1421
3,V,28922,33093,27239,28386
4,A,25442,36359,35139,20590
5,L,1180,59262,1423,53823
