timestamp,2,4,10,12,TT,TR,RT,RR
2025-05-20 10:36:57,269,97422,360,103247,656,4,8,0
2025-05-20 10:36:59,266,97693,376,103784,632,3,5,0
2025-05-20 10:37:00,288,97889,299,102899,582,3,7,0
2025-05-20 10:37:01,272,97435,338,103511,664,4,5,0
2025-05-20 10:37:03,300,97316,352,103235,621,0,4,0
2025-05-20 10:37:04,280,97386,345,103440,616,1,3,0
2025-05-20 10:37:05,289,97265,380,103603,652,5,5,0
2025-05-20 10:37:07,303,97685,346,103407,608,1,5,0
2025-05-20 10:37:08,282,96737,323,103050,599,4,2,0
2025-05-20 10:37:09,299,97332,338,102987,623,4,3,0
2025-05-20 10:37:11,284,97147,330,103061,652,6,7,0
2025-05-20 10:37:12,300,96656,319,102929,589,2,7,0
2025-05-20 10:37:13,283,97222,371,103410,627,6,6,0
2025-05-20 10:37:15,284,97723,378,103529,662,9,3,0
2025-05-20 10:37:16,264,96783,283,103320,638,3,6,0
2025-05-20 10:37:17,271,97651,365,103093,663,4,4,0
2025-05-20 10:37:19,271,97246,325,103124,656,5,5,0
2025-05-20 10:37:20,313,97839,340,103739,616,2,11,0
2025-05-20 10:37:22,263,97610,353,103293,623,3,6,0
2025-05-20 10:37:23,294,97298,327,102874,604,0,4,0
