timestamp,2,4,10,12,TT,TR,RT,RR
2025-05-20 10:37:57,299,96588,362,103452,608,2,6,0
2025-05-20 10:37:58,289,97382,343,103317,636,1,6,0
2025-05-20 10:37:59,305,97281,339,103979,636,6,6,0
2025-05-20 10:38:01,289,97747,333,103503,629,4,4,0
2025-05-20 10:38:02,301,97940,343,103296,632,4,3,0
2025-05-20 10:38:04,317,98182,330,103593,632,6,13,0
2025-05-20 10:38:05,315,98179,323,103803,647,7,8,0
2025-05-20 10:38:06,300,97146,322,103496,614,2,5,0
2025-05-20 10:38:07,295,96821,329,102919,612,2,5,0
2025-05-20 10:38:09,295,98116,360,103146,654,2,10,0
2025-05-20 10:38:10,280,97591,318,102685,591,0,3,0
2025-05-20 10:38:11,278,98203,328,103075,658,1,5,0
2025-05-20 10:38:12,307,97486,354,102988,597,4,5,0
2025-05-20 10:38:14,314,97718,315,103084,646,2,8,0
2025-05-20 10:38:15,278,97541,347,103433,613,7,2,0
2025-05-20 10:38:16,321,97945,330,103222,621,2,2,0
2025-05-20 10:38:18,295,97037,343,103448,622,5,2,0
2025-05-20 10:38:19,280,97714,365,103124,579,6,3,0
2025-05-20 10:38:20,277,97736,342,103465,603,3,5,0
2025-05-20 10:38:21,296,97669,342,103485,632,9,6,0
2025-05-20 10:38:23,263,98059,343,103502,633,2,2,0
2025-05-20 10:38:24,295,97780,330,103382,625,3,9,0
2025-05-20 10:38:25,286,97177,297,103578,665,0,9,0
2025-05-20 10:38:26,276,97538,341,103587,586,6,5,0
2025-05-20 10:38:28,318,97506,326,103333,616,2,8,0
2025-05-20 10:38:29,271,97576,334,103580,666,6,6,0
2025-05-20 10:38:30,285,97840,329,103574,627,6,9,0
2025-05-20 10:38:32,294,97391,340,103122,666,7,9,0
2025-05-20 10:38:33,285,97213,347,103175,634,5,5,0
2025-05-20 10:38:34,286,96775,352,102584,600,2,8,0
2025-05-20 10:38:35,276,97880,356,102569,614,1,7,0
2025-05-20 10:38:37,293,96987,297,103232,630,2,7,0
2025-05-20 10:38:38,303,97288,312,103524,586,4,4,0
2025-05-20 10:38:39,298,97451,329,103012,618,2,6,0
2025-05-20 10:38:40,275,97932,342,103860,630,1,6,0
2025-05-20 10:38:42,288,98082,340,103612,632,5,8,0
2025-05-20 10:38:43,273,97880,343,103159,557,4,8,0
2025-05-20 10:38:44,276,97491,358,103677,615,7,5,0
2025-05-20 10:38:45,293,97583,305,103801,634,4,4,0
2025-05-20 10:38:47,295,98245,373,104793,650,3,9,0
2025-05-20 10:38:48,273,97033,323,103687,604,1,5,0
2025-05-20 10:38:49,306,97600,356,103811,636,4,3,0
2025-05-20 10:38:51,261,97199,313,103734,630,2,5,0
2025-05-20 10:38:52,326,97279,300,103206,615,2,11,0
2025-05-20 10:38:53,277,97618,328,103391,626,6,8,0
2025-05-20 10:38:54,303,97075,324,103276,654,2,8,0
2025-05-20 10:38:56,310,97406,338,103804,630,7,2,0
2025-05-20 10:38:57,267,98191,321,103977,570,7,6,0
2025-05-20 10:38:58,302,97400,340,102997,622,4,4,0
2025-05-20 10:38:59,272,97851,325,103595,613,2,5,0
2025-05-20 10:39:01,285,97130,351,103040,607,3,4,0
2025-05-20 10:39:02,324,97555,327,102833,631,6,13,0
2025-05-20 10:39:03,252,97754,346,102943,630,6,9,0
2025-05-20 10:39:04,283,97458,337,102503,619,2,10,0
2025-05-20 10:39:06,296,97184,321,103276,627,0,4,0
2025-05-20 10:39:07,304,97078,326,103273,634,4,1,0
2025-05-20 10:39:08,286,97241,336,103879,637,5,2,0
2025-05-20 10:39:10,264,97019,315,103119,605,1,2,0
2025-05-20 10:39:11,280,96941,313,104190,637,4,5,0
2025-05-20 10:39:12,274,97340,352,103582,568,5,6,0
2025-05-20 10:39:13,289,97172,311,104436,594,0,9,0
2025-05-20 10:39:15,274,97825,346,103750,602,3,6,0
2025-05-20 10:39:16,287,97169,318,103496,564,4,9,0
2025-05-20 10:39:17,305,97271,320,102790,621,5,8,0
2025-05-20 10:39:18,293,98106,368,102985,627,4,12,0
