timestamp,2,4,10,12
1747303057.9617395,24141,25280,25936,30335
1747303059.5001678,23910,25400,25565,30193
1747303060.8989942,24120,25502,25574,30419
1747303062.203292,24227,25410,25796,30302
1747303063.577287,23987,25269,25744,30212
1747303064.8753672,23978,25488,25742,30011
1747303066.1070871,23922,25022,25697,30159
1747303067.343094,23999,25288,25905,30397
1747303068.5802422,23941,25092,26145,30714
1747303069.8119824,24119,25425,26350,30488
1747303071.04677,24101,25354,26182,30280
1747303072.3283992,23888,25253,25912,30367
1747303073.793577,23869,25094,26157,30770
1747303075.0434992,24131,25288,25855,30580
1747303076.274949,24016,25288,26068,30455
1747303077.5084348,24186,25392,25815,30386
1747303078.74551,23898,25575,25950,30501
1747303079.9769151,23804,25188,25973,30434
1747303081.2118528,23972,25289,25799,30564
1747303082.444332,24227,25533,25844,30575
1747303083.6759083,23881,25326,25924,30179
1747303084.9135537,24105,25258,25857,30397
