data_dir,C,DB_H,DB_V,SB,N
2025-05-23--18h-23m-43s,2.0,44.0,69.0,85.0,200.0
2025-05-23--18h-23m-43s,3.5,58.0,59.0,79.5,200.0
2025-05-23--18h-23m-43s,2.5,53.0,54.0,90.5,200.0
2025-05-23--18h-23m-43s,2.0,46.0,71.0,81.0,200.0
2025-05-23--18h-23m-43s,1.5,47.0,57.0,94.5,200.0
2025-05-23--18h-23m-43s,3.0,59.0,49.0,89.0,200.0
2025-05-23--18h-23m-43s,4.0,46.0,65.0,85.0,200.0
2025-05-23--18h-23m-43s,5.0,52.0,47.0,96.0,200.0
2025-05-23--18h-23m-43s,4.0,43.0,69.0,84.0,200.0
2025-05-23--18h-23m-43s,3.0,47.0,65.0,85.0,200.0
2025-05-23--18h-23m-43s,2.5,49.0,50.0,98.5,200.0
2025-05-23--18h-23m-43s,6.0,40.0,66.0,88.0,200.0
2025-05-23--18h-23m-43s,5.0,57.0,65.0,73.0,200.0
2025-05-23--18h-23m-43s,1.5,55.0,57.0,86.5,200.0
2025-05-23--18h-23m-43s,4.5,51.0,60.0,84.5,200.0
2025-05-23--18h-23m-43s,4.5,48.0,60.0,87.5,200.0
2025-05-23--18h-23m-43s,1.0,49.0,61.0,89.0,200.0
2025-05-23--18h-23m-43s,5.0,37.0,60.0,98.0,200.0
2025-05-23--18h-23m-43s,3.0,51.0,60.0,86.0,200.0
2025-05-23--18h-23m-43s,5.0,56.0,64.0,75.0,200.0
2025-05-23--18h-23m-43s,3.0,48.0,46.0,103.0,200.0
2025-05-23--18h-23m-43s,3.0,44.0,59.0,94.0,200.0
2025-05-23--18h-23m-43s,3.5,53.0,46.0,97.5,200.0
2025-05-23--18h-23m-43s,5.0,50.0,61.0,84.0,200.0
2025-05-23--18h-23m-43s,0.5,49.0,69.0,81.5,200.0
2025-05-23--18h-23m-43s,5.0,50.0,60.0,85.0,200.0
2025-05-23--18h-23m-43s,3.5,49.0,60.0,87.5,200.0
2025-05-23--18h-23m-43s,2.5,55.0,56.0,86.5,200.0
2025-05-23--18h-23m-43s,4.0,36.0,53.0,107.0,200.0
2025-05-23--18h-23m-43s,2.0,42.0,62.0,94.0,200.0
2025-05-23--18h-23m-43s,4.0,44.0,55.0,97.0,200.0
2025-05-23--18h-23m-43s,2.0,51.0,59.0,88.0,200.0
2025-05-23--18h-23m-43s,3.0,43.0,65.0,89.0,200.0
