data_dir,C,DB_H,DB_V,SB,N
2025-06-03--05h-45m-32s,1.5,16.0,10.0,13.0,40.5
2025-06-03--05h-45m-32s,1.5,9.0,12.0,17.5,40.0
2025-06-03--05h-45m-32s,2.5,16.0,6.0,15.0,39.5
2025-06-03--05h-45m-32s,2.5,12.0,10.0,15.0,39.5
2025-06-03--05h-45m-32s,1.0,12.0,12.0,14.5,39.5
2025-06-03--05h-45m-32s,2.5,11.0,11.0,15.0,39.5
2025-06-03--05h-45m-32s,1.5,13.0,6.0,20.0,40.5
2025-06-03--05h-45m-32s,3.5,11.0,9.0,16.5,40.0
2025-06-03--05h-45m-32s,4.0,11.0,12.0,12.5,39.5
2025-06-03--05h-45m-32s,3.0,13.0,9.0,15.0,40.0
2025-06-03--05h-45m-32s,3.0,8.0,6.0,23.5,40.5
2025-06-03--05h-45m-32s,2.0,13.0,9.0,16.5,40.5
2025-06-03--05h-45m-32s,2.5,18.0,6.0,13.0,39.5
2025-06-03--05h-45m-32s,1.5,14.0,9.0,16.0,40.5
2025-06-03--05h-45m-32s,1.5,11.0,10.0,17.5,40.0
2025-06-03--05h-45m-32s,1.0,10.0,10.0,18.5,39.5
2025-06-03--05h-45m-32s,2.5,17.0,8.0,13.0,40.5
2025-06-03--05h-45m-32s,3.5,10.0,8.0,18.5,40.0
2025-06-03--05h-45m-32s,2.0,12.0,8.0,17.5,39.5
2025-06-03--05h-45m-32s,2.0,12.0,10.0,16.0,40.0
2025-06-03--05h-45m-32s,1.5,10.0,16.0,12.5,40.0
2025-06-03--05h-45m-32s,3.5,12.0,8.0,16.5,40.0
2025-06-03--05h-45m-32s,1.0,13.0,11.0,15.5,40.5
2025-06-03--05h-45m-32s,1.5,12.0,14.0,13.0,40.5
2025-06-03--05h-45m-32s,2.0,6.0,16.0,16.5,40.5
2025-06-03--05h-45m-32s,3.5,9.0,9.0,18.5,40.0
2025-06-03--05h-45m-32s,2.5,11.0,9.0,17.0,39.5
2025-06-03--05h-45m-32s,1.0,11.0,12.0,15.5,39.5
2025-06-03--05h-45m-32s,2.0,15.0,7.0,16.5,40.5
2025-06-03--05h-45m-32s,2.5,13.0,8.0,17.0,40.5
2025-06-03--05h-45m-32s,3.5,6.0,10.0,20.5,40.0
2025-06-03--05h-45m-32s,4.0,8.0,8.0,19.5,39.5
2025-06-03--05h-45m-32s,2.5,10.0,14.0,14.0,40.5
2025-06-03--05h-45m-32s,1.0,14.0,7.0,18.5,40.5
2025-06-03--05h-45m-32s,0.5,14.0,8.0,17.0,39.5
2025-06-03--05h-45m-32s,2.0,12.0,15.0,11.5,40.5
2025-06-03--05h-45m-32s,0.5,9.0,11.0,20.0,40.5
