,Measurement Basis,TT,TR,RT,RR
0,H,64613,11489,74527,10481
1,D,47235,31640,40717,35573
2,R,59771,17894,72146,12466
3,V,9957,74636,13849,54398
4,A,25719,56448,44146,32368
5,L,14758,70017,12377,56286
