Unnamed: 0,Measurement Basis,TT,TR,RT,RR,T,R
0,H,65161,11557,75792,9437,140953,20994
1,D,58935,17787,71910,11736,130845,29523
2,R,26388,56627,42280,33987,68668,90614
3,V,10009,75426,15007,53208,25016,128634
4,A,14839,69909,12969,56386,27808,126295
5,L,48872,31659,42235,34579,91107,66238
