data_dir,C,DB_H,DB_V,SB,N
2025-06-01--02h-34m-20s,41.0,23.0,16.0,0.0,80.0
2025-06-01--02h-34m-20s,35.5,22.0,22.0,0.5,80.0
2025-06-01--02h-34m-20s,33.5,18.0,27.0,0.0,78.5
2025-06-01--02h-34m-20s,34.5,25.0,19.0,0.5,79.0
2025-06-01--02h-34m-20s,43.5,15.0,18.0,1.5,78.0
2025-06-01--02h-34m-20s,38.0,23.0,20.0,0.0,81.0
2025-06-01--02h-34m-20s,41.0,18.0,22.0,0.0,81.0
2025-06-01--02h-34m-20s,40.5,17.0,22.0,0.0,79.5
2025-06-01--02h-34m-20s,39.0,27.0,16.0,0.0,82.0
2025-06-01--02h-34m-20s,46.0,21.0,15.0,0.0,82.0
2025-06-01--02h-34m-20s,40.5,20.0,18.0,0.5,79.0
2025-06-01--02h-34m-20s,36.5,21.0,21.0,1.0,79.5
2025-06-01--02h-34m-20s,36.0,20.0,24.0,0.0,80.0
2025-06-01--02h-34m-20s,34.5,20.0,24.0,0.5,79.0
2025-06-01--02h-34m-20s,39.5,20.0,19.0,0.5,79.0
2025-06-01--02h-34m-20s,32.5,30.0,15.0,1.0,78.5
2025-06-01--02h-34m-20s,39.5,21.0,20.0,0.0,80.5
2025-06-01--02h-34m-20s,40.0,19.0,20.0,0.0,79.0
2025-06-01--02h-34m-20s,41.0,18.0,19.0,1.0,79.0
2025-06-01--02h-34m-20s,38.5,19.0,22.0,0.5,80.0
2025-06-01--02h-34m-20s,31.0,28.0,20.0,0.5,79.5
2025-06-01--02h-34m-20s,44.5,17.0,18.0,0.5,80.0
2025-06-01--02h-34m-20s,42.5,21.0,16.0,0.5,80.0
2025-06-01--02h-34m-20s,34.0,23.0,22.0,0.5,79.5
2025-06-01--02h-34m-20s,43.5,17.0,18.0,1.0,79.5
2025-06-01--02h-34m-20s,38.5,24.0,17.0,0.5,80.0
2025-06-01--02h-34m-20s,34.5,30.0,17.0,0.0,81.5
2025-06-01--02h-34m-20s,37.5,20.0,22.0,0.5,80.0
2025-06-01--02h-34m-20s,37.0,24.0,18.0,0.0,79.0
2025-06-01--02h-34m-20s,41.0,21.0,16.0,1.0,79.0
2025-06-01--02h-34m-20s,44.0,16.0,21.0,0.0,81.0
2025-06-01--02h-34m-20s,42.5,22.0,15.0,0.5,80.0
2025-06-01--02h-34m-20s,46.0,18.0,14.0,2.0,80.0
2025-06-01--02h-34m-20s,35.5,22.0,22.0,0.5,80.0
2025-06-01--02h-34m-20s,45.5,20.0,13.0,0.5,79.0
2025-06-01--02h-34m-20s,37.5,22.0,20.0,0.0,79.5
2025-06-01--02h-34m-20s,37.5,24.0,19.0,0.0,80.5
2025-06-01--02h-34m-20s,42.0,18.0,19.0,0.0,79.0
2025-06-01--02h-34m-20s,38.0,23.0,17.0,0.5,78.5
2025-06-01--02h-34m-20s,38.0,19.0,23.0,1.0,81.0
2025-06-01--02h-34m-20s,40.0,20.0,20.0,0.0,80.0
2025-06-01--02h-34m-20s,36.5,23.0,22.0,0.0,81.5
2025-06-01--02h-34m-20s,40.5,18.0,21.0,1.0,80.5
2025-06-01--02h-34m-20s,39.0,17.0,22.0,0.5,78.5
2025-06-01--02h-34m-20s,44.5,20.0,16.0,1.5,82.0
2025-06-01--02h-34m-20s,37.0,22.0,19.0,0.5,78.5
2025-06-01--02h-34m-20s,39.0,23.0,17.0,1.0,80.0
2025-06-01--02h-34m-20s,39.5,18.0,23.0,0.0,80.5
2025-06-01--02h-34m-20s,43.5,23.0,13.0,0.0,79.5
2025-06-01--02h-34m-20s,37.5,19.0,24.0,0.0,80.5
2025-06-01--02h-34m-20s,44.5,22.0,14.0,0.0,80.5
2025-06-01--02h-34m-20s,42.5,17.0,19.0,0.0,78.5
2025-06-01--02h-34m-20s,35.0,21.0,24.0,1.0,81.0
2025-06-01--02h-34m-20s,35.0,20.0,24.0,0.0,79.0
2025-06-01--02h-34m-20s,36.5,25.0,17.0,0.0,78.5
2025-06-01--02h-34m-20s,39.5,21.0,17.0,1.5,79.0
2025-06-01--02h-34m-20s,37.0,17.0,24.0,0.5,78.5
2025-06-01--02h-34m-20s,47.5,14.0,17.0,0.5,79.0
2025-06-01--02h-34m-20s,39.0,23.0,17.0,1.0,80.0
2025-06-01--02h-34m-20s,36.0,23.0,18.0,1.5,78.5
2025-06-01--02h-34m-20s,41.0,19.0,20.0,0.0,80.0
2025-06-01--02h-34m-20s,42.0,15.0,22.0,0.5,79.5
2025-06-01--02h-34m-20s,35.0,22.0,23.0,0.5,80.5
2025-06-01--02h-34m-20s,35.5,26.0,18.0,0.0,79.5
2025-06-01--02h-34m-20s,41.5,18.0,19.0,1.0,79.5
2025-06-01--02h-34m-20s,45.0,20.0,17.0,0.0,82.0
2025-06-01--02h-34m-20s,43.5,17.0,18.0,1.5,80.0
2025-06-01--02h-34m-20s,41.0,21.0,17.0,1.5,80.5
2025-06-01--02h-34m-20s,41.5,23.0,14.0,0.5,79.0
2025-06-01--02h-34m-20s,40.0,21.0,18.0,0.0,79.0
2025-06-01--02h-34m-20s,39.5,26.0,15.0,0.0,80.5
2025-06-01--02h-34m-20s,45.0,18.0,16.0,0.0,79.0
2025-06-01--02h-34m-20s,42.5,23.0,15.0,0.0,80.5
2025-06-01--02h-34m-20s,34.0,25.0,20.0,1.0,80.0
2025-06-01--02h-34m-20s,31.5,27.0,20.0,1.0,79.5
2025-06-01--02h-34m-20s,40.0,23.0,16.0,0.5,79.5
2025-06-01--02h-34m-20s,43.5,20.0,15.0,0.0,78.5
2025-06-01--02h-34m-20s,37.0,23.0,20.0,0.5,80.5
2025-06-01--02h-34m-20s,44.0,21.0,15.0,0.5,80.5
2025-06-01--02h-34m-20s,37.5,28.0,15.0,0.0,80.5
2025-06-01--02h-34m-20s,40.5,23.0,16.0,0.0,79.5
2025-06-01--02h-34m-20s,34.0,24.0,21.0,0.0,79.0
2025-06-01--02h-34m-20s,40.5,26.0,14.0,0.0,80.5
2025-06-01--02h-34m-20s,36.5,22.0,20.0,0.5,79.0
2025-06-01--02h-34m-20s,41.0,22.0,17.0,0.0,80.0
2025-06-01--02h-34m-20s,39.0,19.0,22.0,1.0,81.0
2025-06-01--02h-34m-20s,42.0,16.0,20.0,1.0,79.0
2025-06-01--02h-34m-20s,43.0,22.0,16.0,0.0,81.0
2025-06-01--02h-34m-20s,44.0,24.0,13.0,0.5,81.5
2025-06-01--02h-34m-20s,38.0,24.0,18.0,0.0,80.0
2025-06-01--02h-34m-20s,35.0,21.0,23.0,0.0,79.0
2025-06-01--02h-34m-20s,38.0,18.0,21.0,1.5,78.5
2025-06-01--02h-34m-20s,33.0,31.0,15.0,0.0,79.0
2025-06-01--02h-34m-20s,32.0,23.0,25.0,0.0,80.0
2025-06-01--02h-34m-20s,43.5,20.0,16.0,0.0,79.5
2025-06-01--02h-34m-20s,39.5,26.0,14.0,1.5,81.0
2025-06-01--02h-34m-20s,34.5,24.0,19.0,0.5,78.0
2025-06-01--02h-34m-20s,44.0,17.0,19.0,0.0,80.0
2025-06-01--02h-34m-20s,41.5,24.0,13.0,0.5,79.0
2025-06-01--02h-34m-20s,34.0,14.0,31.0,0.0,79.0
2025-06-01--02h-34m-20s,41.0,21.0,18.0,0.5,80.5
2025-06-01--02h-34m-20s,39.5,17.0,25.0,0.0,81.5
2025-06-01--02h-34m-20s,39.5,24.0,16.0,1.0,80.5
2025-06-01--02h-34m-20s,43.0,25.0,12.0,0.5,80.5
2025-06-01--02h-34m-20s,38.5,24.0,16.0,0.0,78.5
2025-06-01--02h-34m-20s,42.5,23.0,14.0,0.5,80.0
2025-06-01--02h-34m-20s,27.0,27.0,26.0,0.0,80.0
2025-06-01--02h-34m-20s,34.5,24.0,20.0,0.0,78.5
2025-06-01--02h-34m-20s,33.5,22.0,23.0,0.0,78.5
2025-06-01--02h-34m-20s,40.0,22.0,19.0,0.0,81.0
2025-06-01--02h-34m-20s,42.5,19.0,18.0,0.5,80.0
2025-06-01--02h-34m-20s,34.5,22.0,23.0,0.0,79.5
2025-06-01--02h-34m-20s,35.0,26.0,19.0,0.0,80.0
2025-06-01--02h-34m-20s,31.5,23.0,27.0,0.0,81.5
2025-06-01--02h-34m-20s,43.0,23.0,14.0,0.5,80.5
2025-06-01--02h-34m-20s,32.0,27.0,22.0,0.0,81.0
2025-06-01--02h-34m-20s,40.5,24.0,15.0,0.0,79.5
2025-06-01--02h-34m-20s,43.0,21.0,16.0,0.0,80.0
2025-06-01--02h-34m-20s,40.0,22.0,17.0,0.5,79.5
2025-06-01--02h-34m-20s,35.5,27.0,17.0,0.0,79.5
2025-06-01--02h-34m-20s,38.0,22.0,19.0,0.0,79.0
2025-06-01--02h-34m-20s,42.5,26.0,12.0,0.0,80.5
2025-06-01--02h-34m-20s,31.0,23.0,23.0,1.0,78.0
2025-06-01--02h-34m-20s,43.0,19.0,18.0,0.5,80.5
2025-06-01--02h-34m-20s,42.0,17.0,21.0,0.0,80.0
2025-06-01--02h-34m-20s,38.5,16.0,25.0,1.0,80.5
2025-06-01--02h-34m-20s,36.0,23.0,19.0,1.0,79.0
2025-06-01--02h-34m-20s,35.5,17.0,29.0,0.0,81.5
2025-06-01--02h-34m-20s,37.0,17.0,26.0,0.5,80.5
2025-06-01--02h-34m-20s,36.0,26.0,17.0,0.0,79.0
2025-06-01--02h-34m-20s,40.0,22.0,20.0,0.0,82.0
2025-06-01--02h-34m-20s,39.5,20.0,19.0,0.5,79.0
2025-06-01--02h-34m-20s,38.5,21.0,20.0,1.0,80.5
2025-06-01--02h-34m-20s,45.5,13.0,21.0,0.0,79.5
2025-06-01--02h-34m-20s,35.5,27.0,16.0,1.0,79.5
2025-06-01--02h-34m-20s,37.0,22.0,19.0,2.0,80.0
2025-06-01--02h-34m-20s,39.5,26.0,13.0,0.0,78.5
2025-06-01--02h-34m-20s,41.0,16.0,21.0,0.5,78.5
2025-06-01--02h-34m-20s,46.0,17.0,16.0,0.5,79.5
2025-06-01--02h-34m-20s,37.5,19.0,23.0,0.0,79.5
2025-06-01--02h-34m-20s,31.0,26.0,23.0,0.5,80.5
2025-06-01--02h-34m-20s,35.5,25.0,18.0,1.5,80.0
2025-06-01--02h-34m-20s,41.0,22.0,15.0,1.0,79.0
2025-06-01--02h-34m-20s,41.5,20.0,17.0,0.5,79.0
2025-06-01--02h-34m-20s,40.5,21.0,17.0,1.0,79.5
2025-06-01--02h-34m-20s,43.0,22.0,15.0,0.0,80.0
2025-06-01--02h-34m-20s,34.5,25.0,20.0,0.5,80.0
2025-06-01--02h-34m-20s,35.5,22.0,23.0,0.0,80.5
2025-06-01--02h-34m-20s,38.0,23.0,16.0,1.0,78.0
2025-06-01--02h-34m-20s,42.5,18.0,18.0,0.5,79.0
2025-06-01--02h-34m-20s,43.0,21.0,15.0,0.5,79.5
2025-06-01--02h-34m-20s,41.5,17.0,21.0,0.0,79.5
2025-06-01--02h-34m-20s,33.5,26.0,20.0,1.5,81.0
2025-06-01--02h-34m-20s,38.5,17.0,25.0,0.5,81.0
2025-06-01--02h-34m-20s,44.0,15.0,21.0,0.0,80.0
2025-06-01--02h-34m-20s,39.0,21.0,19.0,0.5,79.5
2025-06-01--02h-34m-20s,44.5,18.0,17.0,0.5,80.0
2025-06-01--02h-34m-20s,41.5,23.0,14.0,0.5,79.0
2025-06-01--02h-34m-20s,34.5,27.0,20.0,0.0,81.5
2025-06-01--02h-34m-20s,40.0,20.0,19.0,0.0,79.0
2025-06-01--02h-34m-20s,45.0,16.0,19.0,0.5,80.5
2025-06-01--02h-34m-20s,39.5,26.0,14.0,1.0,80.5
2025-06-01--02h-34m-20s,38.0,21.0,18.0,1.0,78.0
2025-06-01--02h-34m-20s,39.5,21.0,20.0,0.5,81.0
2025-06-01--02h-34m-20s,38.0,17.0,24.0,0.5,79.5
2025-06-01--02h-34m-20s,41.5,17.0,19.0,0.5,78.0
2025-06-01--02h-34m-20s,37.5,18.0,22.0,0.5,78.0
2025-06-01--02h-34m-20s,32.0,22.0,26.0,0.0,80.0
2025-06-01--02h-34m-20s,35.5,25.0,20.0,0.0,80.5
2025-06-01--02h-34m-20s,35.0,27.0,16.0,0.5,78.5
2025-06-01--02h-34m-20s,36.0,21.0,24.0,0.0,81.0
2025-06-01--02h-34m-20s,45.0,15.0,20.0,0.5,80.5
2025-06-01--02h-34m-20s,43.0,13.0,21.0,1.0,78.0
2025-06-01--02h-34m-20s,43.0,18.0,19.0,1.0,81.0
2025-06-01--02h-34m-20s,52.5,15.0,12.0,0.5,80.0
2025-06-01--02h-34m-20s,34.5,22.0,23.0,0.0,79.5
2025-06-01--02h-34m-20s,47.5,17.0,14.0,2.0,80.5
2025-06-01--02h-34m-20s,36.5,23.0,18.0,1.0,78.5
2025-06-01--02h-34m-20s,45.0,22.0,13.0,0.0,80.0
2025-06-01--02h-34m-20s,37.5,22.0,20.0,1.0,80.5
2025-06-01--02h-34m-20s,43.0,18.0,18.0,0.5,79.5
2025-06-01--02h-34m-20s,41.5,19.0,19.0,0.5,80.0
2025-06-01--02h-34m-20s,43.5,18.0,19.0,0.0,80.5
2025-06-01--02h-34m-20s,42.0,20.0,17.0,0.0,79.0
2025-06-01--02h-34m-20s,38.5,25.0,17.0,0.0,80.5
2025-06-01--02h-34m-20s,36.0,17.0,24.0,1.5,78.5
