,Measurement Basis,TT,TR,RT,RR
0,H,65449,495,65332,402
1,D,31921,32271,31130,35143
2,R,31373,33128,28577,37251
3,V,405,61579,468,65205
4,A,33442,30278,31759,33898
5,L,34770,29366,33838,32179
