data_dir,C,DB_H,DB_V,SB,N,theta_estimate,delta_phi_estimate,theta_estimate_degrees,delta_phi_estimate_degrees
2025-05-23--16h-55m-20s,2.0,29.0,1.0,8.0,40.0,0.7803605868680022,0.45767422457177315,44.71136812588858,26.22280145988524
2025-05-23--16h-55m-20s,1.5,29.0,1.0,8.5,40.0,0.7803605868680022,0.3923710685423601,44.71136812588858,22.481206230515575
2025-05-23--16h-55m-24s,0.5,30.0,1.0,8.5,40.0,0.743593696754468,0.2345277804372816,42.604780496561794,13.437451997627068
2025-05-23--16h-55m-24s,0.0,30.0,2.0,8.0,40.0,0.7803605868680022,0.0,44.71136812588858,0.0
2025-05-23--16h-55m-24s,0.5,33.0,0.0,6.5,40.0,0.5779882351930726,0.2667111521503259,33.11628648477786,15.281423367285226
2025-05-23--16h-55m-28s,1.5,29.0,1.0,8.5,40.0,0.7803605868680022,0.3923710685423601,44.71136812588858,22.481206230515575
2025-05-23--16h-55m-28s,1.0,30.0,0.0,9.0,40.0,0.7052935019057298,0.3172771730595597,40.410340977200406,18.178642952154597
2025-05-23--16h-55m-28s,1.0,30.0,0.0,9.0,40.0,0.7052935019057298,0.3172771730595597,40.410340977200406,18.178642952154597
2025-05-23--16h-55m-32s,1.0,27.0,2.0,10.0,40.0,0.8834118874085803,0.30199125879106337,50.615772720197924,17.30282457857095
2025-05-23--16h-55m-32s,0.5,25.0,0.0,14.5,40.0,0.8834118874085803,0.18093000192997485,50.615772720197924,10.366525497881398
2025-05-23--16h-55m-32s,0.5,24.0,5.0,10.5,40.0,1.0675938620934229,0.2117463452419459,61.16862253202477,12.13217190968354
2025-05-23--16h-55m-36s,0.0,30.0,1.0,9.0,40.0,0.743593696754468,0.0,42.604780496561794,0.0
2025-05-23--16h-55m-36s,0.0,29.0,1.0,10.0,40.0,0.7803605868680022,0.0,44.71136812588858,0.0
2025-05-23--16h-55m-36s,0.5,21.0,3.0,15.5,40.0,1.0963423642624226,0.1751187949816745,62.81579037363115,10.03356786586669
2025-05-23--16h-55m-40s,1.5,26.0,1.0,11.5,40.0,0.8834118874085803,0.3418149295377484,50.615772720197924,19.5845528370746
2025-05-23--16h-55m-40s,1.0,26.0,1.0,12.0,40.0,0.8834118874085803,0.277062865907599,50.615772720197924,15.874532876304485
2025-05-23--16h-55m-40s,0.0,29.0,0.0,11.0,40.0,0.743593696754468,0.0,42.604780496561794,0.0
2025-05-23--16h-55m-44s,1.5,21.0,6.0,11.5,40.0,1.1802316167641536,0.3418149295377484,67.62229048848762,19.5845528370746
2025-05-23--16h-55m-44s,0.5,26.0,3.0,10.5,40.0,0.9474488427308994,0.2117463452419459,54.28481999303462,12.13217190968354
2025-05-23--16h-55m-44s,0.0,25.0,4.0,11.0,40.0,1.0086600878650032,0.0,57.791965997959466,0.0
2025-05-23--16h-55m-47s,0.5,25.0,3.0,11.5,40.0,0.9783698582266241,0.20259184530918437,56.05646367919827,11.607657699983509
2025-05-23--16h-55m-47s,0.5,26.0,1.0,12.5,40.0,0.8834118874085803,0.1945306253576709,50.615772720197924,11.145783819035133
2025-05-23--16h-55m-47s,1.0,22.0,2.0,15.0,40.0,1.0383828714675545,0.24907281986978974,59.4949560537663,14.270821369961142
2025-05-23--16h-55m-51s,0.0,12.0,5.0,23.0,40.0,1.392183159977425,0.0,79.76621937589276,0.0
2025-05-23--16h-55m-51s,0.5,20.0,4.0,15.5,40.0,1.1526235340514657,0.1751187949816745,66.04046386860252,10.03356786586669
2025-05-23--16h-55m-51s,0.0,25.0,2.0,13.0,40.0,0.9474488427308994,0.0,54.28481999303462,0.0
2025-05-23--16h-55m-55s,0.0,16.0,8.0,16.0,40.0,1.3663289246478492,0.0,78.28488080897003,0.0
2025-05-23--16h-55m-55s,0.0,21.0,5.0,14.0,40.0,1.1526235340514657,0.0,66.04046386860252,0.0
2025-05-23--16h-55m-55s,1.0,23.0,2.0,14.0,40.0,1.0086600878650032,0.25743972657095276,57.791965997959466,14.75020981151751
2025-05-23--16h-55m-59s,0.0,20.0,4.0,16.0,40.0,1.1526235340514657,0.0,66.04046386860252,0.0
2025-05-23--16h-55m-59s,1.0,22.0,6.0,11.0,40.0,1.1526235340514657,0.28872253391069386,66.04046386860252,16.54258264340555
2025-05-23--16h-55m-59s,0.5,19.0,6.0,14.5,40.0,1.234546524913781,0.18093000192997485,70.73430549010199,10.366525497881398
2025-05-23--16h-56m-03s,1.0,15.0,7.0,17.0,40.0,1.3663289246478492,0.2345277804372816,78.28488080897003,13.437451997627068
2025-05-23--16h-56m-03s,0.0,16.0,7.0,17.0,40.0,1.340335289368688,0.0,76.79555521327174,0.0
2025-05-23--16h-56m-07s,0.0,18.0,2.0,20.0,40.0,1.1526235340514657,0.0,66.04046386860252,0.0
2025-05-23--16h-56m-07s,1.5,15.0,9.0,14.5,40.0,1.4179172430137281,0.3068383014885344,81.24067372351213,17.580539668255746
2025-05-23--16h-56m-07s,0.5,14.0,9.0,16.5,40.0,1.4435496611240408,0.1698338530039141,82.70930309994775,9.730762995569496
2025-05-23--16h-56m-11s,0.0,17.0,9.0,14.0,40.0,1.3663289246478492,0.0,78.28488080897003,0.0
2025-05-23--16h-56m-11s,0.0,13.0,8.0,19.0,40.0,1.4435496611240408,0.0,82.70930309994775,0.0
2025-05-23--16h-56m-11s,0.5,13.0,8.0,18.5,40.0,1.4435496611240408,0.1605571994952417,82.70930309994775,9.19924990151734
2025-05-23--16h-56m-15s,0.5,10.0,7.0,22.5,40.0,1.4945804282889525,0.14580946590508773,85.63315068381198,8.354267009418201
2025-05-23--16h-56m-15s,0.5,9.0,10.0,20.5,40.0,1.596179763204715,0.1526515855116385,91.4543637758213,8.746291585797271
2025-05-23--16h-56m-19s,0.5,9.0,11.0,19.5,40.0,1.6215795731084166,0.15645478250875602,92.909665683738,8.964198722388934
2025-05-23--16h-56m-19s,0.5,10.0,12.0,17.5,40.0,1.6215795731084166,0.16500025197837404,92.909665683738,9.453818056955944
2025-05-23--16h-56m-19s,0.5,12.0,9.0,18.5,40.0,1.4945804282889525,0.1605571994952417,85.63315068381198,9.19924990151734
2025-05-23--16h-56m-23s,0.5,11.0,11.0,17.5,40.0,1.5707963267948966,0.16500025197837404,90.0,9.453818056955944
2025-05-23--16h-56m-23s,0.5,15.0,13.0,11.5,40.0,1.5200130804813765,0.20259184530918437,87.090334316262,11.607657699983509
2025-05-23--16h-56m-23s,0.0,17.0,9.0,14.0,40.0,1.3663289246478492,0.0,78.28488080897003,0.0
2025-05-23--16h-56m-27s,0.0,15.0,11.0,14.0,40.0,1.4690982728642359,0.0,84.1731307250793,0.0
2025-05-23--16h-56m-27s,0.0,7.0,17.0,16.0,40.0,1.8274105528289257,0.0,104.70291211476601,0.0
2025-05-23--16h-56m-27s,1.0,8.0,14.0,17.0,40.0,1.7236754105760652,0.2345277804372816,98.75932627648788,13.437451997627068
2025-05-23--16h-56m-31s,0.0,8.0,13.0,19.0,40.0,1.6980429924657525,0.0,97.29069690005227,0.0
2025-05-23--16h-56m-31s,1.5,8.0,16.0,14.5,40.0,1.7752637289419442,0.3068383014885344,101.71511919102997,17.580539668255746
2025-05-23--16h-56m-31s,0.0,15.0,15.0,10.0,40.0,1.5707963267948966,0.0,90.0,0.0
2025-05-23--16h-56m-35s,0.0,11.0,17.0,12.0,40.0,1.7236754105760652,0.0,98.75932627648788,0.0
2025-05-23--16h-56m-35s,1.0,9.0,11.0,19.0,40.0,1.6215795731084166,0.2222659806251162,92.909665683738,12.734902619155687
2025-05-23--16h-56m-35s,1.5,7.0,19.0,12.5,40.0,1.8802817296301395,0.3288607044945678,107.73220740336554,18.842330415237676
2025-05-23--16h-56m-39s,1.5,15.0,12.0,11.5,40.0,1.4945804282889525,0.3418149295377484,85.63315068381198,19.5845528370746
2025-05-23--16h-56m-39s,0.5,9.0,13.0,17.5,40.0,1.6724943807255575,0.16500025197837404,95.8268692749207,9.453818056955944
2025-05-23--16h-56m-39s,0.5,7.0,13.0,19.5,40.0,1.7236754105760652,0.15645478250875602,98.75932627648788,8.964198722388934
2025-05-23--16h-56m-43s,0.5,3.0,20.0,16.5,40.0,2.01692025879791,0.1698338530039141,115.56101844355399,9.730762995569496
2025-05-23--16h-56m-43s,0.5,6.0,16.0,17.5,40.0,1.8274105528289257,0.16500025197837404,104.70291211476601,9.453818056955944
2025-05-23--16h-56m-47s,0.0,5.0,20.0,15.0,40.0,1.9613610368256396,0.0,112.37770951151238,0.0
2025-05-23--16h-56m-47s,1.5,8.0,16.0,14.5,40.0,1.7752637289419442,0.3068383014885344,101.71511919102997,17.580539668255746
2025-05-23--16h-56m-47s,0.5,5.0,17.0,17.5,40.0,1.8802817296301395,0.16500025197837404,107.73220740336554,9.453818056955944
2025-05-23--16h-56m-51s,1.0,3.0,17.0,19.0,40.0,1.9340633550810982,0.2222659806251162,110.81366755705885,12.734902619155687
2025-05-23--16h-56m-51s,0.0,7.0,21.0,12.0,40.0,1.9340633550810982,0.0,110.81366755705885,0.0
2025-05-23--16h-56m-55s,1.0,4.0,20.0,15.0,40.0,1.9889691195383277,0.24907281986978974,113.9595361313975,14.270821369961142
2025-05-23--16h-56m-55s,0.5,4.0,19.0,16.5,40.0,1.9613610368256396,0.1698338530039141,112.37770951151238,9.730762995569496
2025-05-23--16h-56m-55s,2.5,7.0,18.0,12.5,40.0,1.8537445165690392,0.4149717231447266,106.21173709492504,23.776128353464095
2025-05-23--16h-56m-59s,1.5,3.0,26.0,9.5,40.0,2.1941438108588938,0.3731082618073886,125.71518000696538,21.377528703025533
2025-05-23--16h-56m-59s,1.0,3.0,21.0,15.0,40.0,2.0452502893273707,0.24907281986978974,117.18420962636887,14.270821369961142
2025-05-23--16h-56m-59s,0.5,2.0,25.0,12.5,40.0,2.1941438108588938,0.1945306253576709,125.71518000696538,11.145783819035133
2025-05-23--16h-57m-03s,1.5,0.0,27.0,11.5,40.0,2.3257833085982966,0.3418149295377484,133.2575676446551,19.5845528370746
2025-05-23--16h-57m-03s,0.5,4.0,23.0,12.5,40.0,2.0739987914963702,0.1945306253576709,118.83137746797523,11.145783819035133
2025-05-23--16h-57m-03s,0.5,4.0,21.0,14.5,40.0,2.01692025879791,0.18093000192997485,115.56101844355399,10.366525497881398
2025-05-23--16h-57m-07s,1.0,0.0,25.0,14.0,40.0,2.258180766181213,0.25743972657095276,129.38422727980208,14.75020981151751
2025-05-23--16h-57m-07s,0.0,2.0,25.0,13.0,40.0,2.1941438108588938,0.0,125.71518000696538,0.0
2025-05-23--16h-57m-07s,0.5,1.0,23.0,15.5,40.0,2.1632227953631693,0.1751187949816745,123.94353632080175,10.03356786586669
2025-05-23--16h-57m-10s,0.0,4.0,28.0,8.0,40.0,2.2257683496037757,0.0,127.52713260609507,0.0
2025-05-23--16h-57m-10s,1.0,1.0,29.0,9.0,40.0,2.361232066721791,0.3172771730595597,135.28863187411142,18.178642952154597
2025-05-23--16h-57m-10s,2.0,2.0,24.0,12.0,40.0,2.1632227953631693,0.38237550466972126,123.94353632080175,21.908502606759928
2025-05-23--16h-57m-10s,1.0,2.0,27.0,10.0,40.0,2.258180766181213,0.30199125879106337,129.38422727980208,17.30282457857095
2025-05-23--16h-57m-14s,1.0,1.0,31.0,7.0,40.0,2.4362991516840635,0.3564338525814142,139.58965902279962,20.422155428503196
2025-05-23--16h-57m-14s,0.5,0.0,29.0,10.5,40.0,2.397998956835325,0.2117463452419459,137.3952195034382,12.13217190968354
2025-05-23--16h-57m-14s,0.5,1.0,29.0,9.5,40.0,2.361232066721791,0.2222659806251162,135.28863187411142,12.734902619155687
2025-05-23--16h-57m-18s,0.5,1.0,29.0,9.5,40.0,2.361232066721791,0.2222659806251162,135.28863187411142,12.734902619155687
2025-05-23--16h-57m-18s,0.0,0.0,29.0,11.0,40.0,2.397998956835325,0.0,137.3952195034382,0.0
2025-05-23--16h-57m-18s,0.0,5.0,27.0,8.0,40.0,2.1632227953631693,0.0,123.94353632080175,0.0
2025-05-23--16h-57m-22s,0.0,0.0,33.0,7.0,40.0,2.5636044183967206,0.0,146.88371351522215,0.0
2025-05-23--16h-57m-22s,1.0,0.0,31.0,8.0,40.0,2.4764067053368013,0.3351499755574887,141.887652573696,19.202679103356804
2025-05-23--16h-57m-22s,1.0,0.0,33.0,6.0,40.0,2.5636044183967206,0.38237550466972126,146.88371351522215,21.908502606759928
2025-05-23--16h-57m-26s,0.0,0.0,32.0,8.0,40.0,2.5186801516870747,0.0,144.30974263503938,0.0
2025-05-23--16h-57m-26s,1.5,0.0,29.0,9.5,40.0,2.397998956835325,0.3731082618073886,137.3952195034382,21.377528703025533
