,Measurement Basis,TT,TR,RT,RR
0,H,48652,57860,70979,47497
1,D,91755,8274,132043,1250
2,R,25335,87168,65723,54651
3,V,49312,58235,69705,50496
4,A,6602,108374,555,105923
5,L,72380,29819,66417,52146
