Unnamed: 0,Measurement Basis,TT,TR,RT,RR,T,R
0,H,33989,28036,27404,28212,61393,56248
1,D,1023,59469,1408,53549,2431,113018
2,R,37661,25222,21091,34659,58752,59881
3,V,29587,32634,26981,28927,56568,61561
4,A,62047,1177,54982,1391,117029,2568
5,L,25916,36041,36342,20432,62258,56473
