detector_a_name,detector_b_name,estimation_label,repetition,coincidences,timestamp
1,11,C,4,0,2025-05-23--16h-55m-30s-416818
1,10,C,4,0,2025-05-23--16h-55m-30s-416818
1,4,DB_H,4,0,2025-05-23--16h-55m-30s-416818
1,7,SB,4,0,2025-05-23--16h-55m-30s-416818
1,2,SB,4,0,2025-05-23--16h-55m-30s-416818
4,9,C,4,0,2025-05-23--16h-55m-30s-416818
4,12,C,4,0,2025-05-23--16h-55m-30s-416818
4,11,C,4,0,2025-05-23--16h-55m-30s-416818
4,10,C,4,0,2025-05-23--16h-55m-30s-416818
4,7,SB,4,1,2025-05-23--16h-55m-30s-416818
7,9,C,4,0,2025-05-23--16h-55m-30s-416818
7,12,C,4,0,2025-05-23--16h-55m-30s-416818
7,11,C,4,0,2025-05-23--16h-55m-30s-416818
7,10,C,4,0,2025-05-23--16h-55m-30s-416818
2,9,C,4,0,2025-05-23--16h-55m-30s-416818
2,12,C,4,0,2025-05-23--16h-55m-30s-416818
2,11,C,4,0,2025-05-23--16h-55m-30s-416818
2,10,C,4,0,2025-05-23--16h-55m-30s-416818
2,4,SB,4,0,2025-05-23--16h-55m-30s-416818
2,7,DB_V,4,0,2025-05-23--16h-55m-30s-416818
9,12,DB_H,6,0,2025-05-23--16h-55m-30s-456453
9,11,SB,6,0,2025-05-23--16h-55m-30s-456453
9,10,SB,6,0,2025-05-23--16h-55m-30s-456453
11,12,SB,6,0,2025-05-23--16h-55m-30s-456453
10,12,SB,6,0,2025-05-23--16h-55m-30s-456453
10,11,DB_V,6,0,2025-05-23--16h-55m-30s-456453
1,9,C,6,0,2025-05-23--16h-55m-30s-456453
1,12,C,6,0,2025-05-23--16h-55m-30s-456453
1,11,C,6,0,2025-05-23--16h-55m-30s-456453
1,10,C,6,0,2025-05-23--16h-55m-30s-456453
1,4,DB_H,6,0,2025-05-23--16h-55m-30s-456453
1,7,SB,6,0,2025-05-23--16h-55m-30s-456453
1,2,SB,6,0,2025-05-23--16h-55m-30s-456453
4,9,C,6,0,2025-05-23--16h-55m-30s-456453
4,12,C,6,0,2025-05-23--16h-55m-30s-456453
4,11,C,6,0,2025-05-23--16h-55m-30s-456453
4,10,C,6,0,2025-05-23--16h-55m-30s-456453
4,7,SB,6,1,2025-05-23--16h-55m-30s-456453
7,9,C,6,0,2025-05-23--16h-55m-30s-456453
7,12,C,6,0,2025-05-23--16h-55m-30s-456453
7,11,C,6,0,2025-05-23--16h-55m-30s-456453
7,10,C,6,0,2025-05-23--16h-55m-30s-456453
2,9,C,6,0,2025-05-23--16h-55m-30s-456453
2,12,C,6,0,2025-05-23--16h-55m-30s-456453
2,11,C,6,0,2025-05-23--16h-55m-30s-456453
2,10,C,6,0,2025-05-23--16h-55m-30s-456453
2,4,SB,6,0,2025-05-23--16h-55m-30s-456453
2,7,DB_V,6,0,2025-05-23--16h-55m-30s-456453
9,12,DB_H,7,0,2025-05-23--16h-55m-30s-475712
9,11,SB,7,0,2025-05-23--16h-55m-30s-475712
9,10,SB,7,0,2025-05-23--16h-55m-30s-475712
11,12,SB,7,0,2025-05-23--16h-55m-30s-475712
10,12,SB,7,0,2025-05-23--16h-55m-30s-475712
10,11,DB_V,7,0,2025-05-23--16h-55m-30s-475712
1,9,C,7,0,2025-05-23--16h-55m-30s-475712
1,12,C,7,0,2025-05-23--16h-55m-30s-475712
1,11,C,7,0,2025-05-23--16h-55m-30s-475712
1,10,C,7,0,2025-05-23--16h-55m-30s-475712
1,4,DB_H,7,1,2025-05-23--16h-55m-30s-475712
1,7,SB,7,0,2025-05-23--16h-55m-30s-475712
1,2,SB,7,0,2025-05-23--16h-55m-30s-475712
4,9,C,7,0,2025-05-23--16h-55m-30s-475712
4,12,C,7,0,2025-05-23--16h-55m-30s-475712
4,11,C,7,0,2025-05-23--16h-55m-30s-475712
4,10,C,7,0,2025-05-23--16h-55m-30s-475712
4,7,SB,7,0,2025-05-23--16h-55m-30s-475712
7,9,C,7,0,2025-05-23--16h-55m-30s-475712
7,12,C,7,0,2025-05-23--16h-55m-30s-475712
7,11,C,7,0,2025-05-23--16h-55m-30s-475712
7,10,C,7,0,2025-05-23--16h-55m-30s-475712
2,9,C,7,0,2025-05-23--16h-55m-30s-475712
2,12,C,7,0,2025-05-23--16h-55m-30s-475712
2,11,C,7,0,2025-05-23--16h-55m-30s-475712
2,10,C,7,0,2025-05-23--16h-55m-30s-475712
2,4,SB,7,0,2025-05-23--16h-55m-30s-475712
2,7,DB_V,7,0,2025-05-23--16h-55m-30s-475712
9,12,DB_H,8,1,2025-05-23--16h-55m-30s-494663
9,11,SB,8,1,2025-05-23--16h-55m-30s-494663
9,10,SB,8,0,2025-05-23--16h-55m-30s-494663
11,12,SB,8,0,2025-05-23--16h-55m-30s-494663
10,12,SB,8,0,2025-05-23--16h-55m-30s-494663
10,11,DB_V,8,0,2025-05-23--16h-55m-30s-494663
1,9,C,8,0,2025-05-23--16h-55m-30s-494663
1,12,C,8,0,2025-05-23--16h-55m-30s-494663
1,11,C,8,0,2025-05-23--16h-55m-30s-494663
1,10,C,8,0,2025-05-23--16h-55m-30s-494663
1,4,DB_H,8,1,2025-05-23--16h-55m-30s-494663
1,7,SB,8,0,2025-05-23--16h-55m-30s-494663
1,2,SB,8,0,2025-05-23--16h-55m-30s-494663
4,9,C,8,0,2025-05-23--16h-55m-30s-494663
4,12,C,8,0,2025-05-23--16h-55m-30s-494663
4,11,C,8,0,2025-05-23--16h-55m-30s-494663
4,10,C,8,0,2025-05-23--16h-55m-30s-494663
4,7,SB,8,1,2025-05-23--16h-55m-30s-494663
7,9,C,8,0,2025-05-23--16h-55m-30s-494663
7,12,C,8,0,2025-05-23--16h-55m-30s-494663
7,11,C,8,0,2025-05-23--16h-55m-30s-494663
7,10,C,8,0,2025-05-23--16h-55m-30s-494663
2,9,C,8,0,2025-05-23--16h-55m-30s-494663
2,12,C,8,0,2025-05-23--16h-55m-30s-494663
2,11,C,8,0,2025-05-23--16h-55m-30s-494663
2,10,C,8,0,2025-05-23--16h-55m-30s-494663
2,4,SB,8,0,2025-05-23--16h-55m-30s-494663
2,7,DB_V,8,0,2025-05-23--16h-55m-30s-494663
9,12,DB_H,9,1,2025-05-23--16h-55m-30s-513621
9,11,SB,9,0,2025-05-23--16h-55m-30s-513621
9,10,SB,9,0,2025-05-23--16h-55m-30s-513621
11,12,SB,9,0,2025-05-23--16h-55m-30s-513621
10,12,SB,9,0,2025-05-23--16h-55m-30s-513621
10,11,DB_V,9,0,2025-05-23--16h-55m-30s-513621
1,9,C,9,0,2025-05-23--16h-55m-30s-513621
1,12,C,9,0,2025-05-23--16h-55m-30s-513621
1,11,C,9,0,2025-05-23--16h-55m-30s-513621
1,10,C,9,0,2025-05-23--16h-55m-30s-513621
1,4,DB_H,9,0,2025-05-23--16h-55m-30s-513621
1,7,SB,9,0,2025-05-23--16h-55m-30s-513621
1,2,SB,9,0,2025-05-23--16h-55m-30s-513621
4,9,C,9,0,2025-05-23--16h-55m-30s-513621
4,12,C,9,0,2025-05-23--16h-55m-30s-513621
4,11,C,9,0,2025-05-23--16h-55m-30s-513621
4,10,C,9,0,2025-05-23--16h-55m-30s-513621
4,7,SB,9,0,2025-05-23--16h-55m-30s-513621
7,9,C,9,0,2025-05-23--16h-55m-30s-513621
7,12,C,9,0,2025-05-23--16h-55m-30s-513621
7,11,C,9,0,2025-05-23--16h-55m-30s-513621
7,10,C,9,0,2025-05-23--16h-55m-30s-513621
2,9,C,9,0,2025-05-23--16h-55m-30s-513621
2,12,C,9,0,2025-05-23--16h-55m-30s-513621
2,11,C,9,0,2025-05-23--16h-55m-30s-513621
2,10,C,9,0,2025-05-23--16h-55m-30s-513621
2,4,SB,9,0,2025-05-23--16h-55m-30s-513621
2,7,DB_V,9,0,2025-05-23--16h-55m-30s-513621
9,12,DB_H,10,1,2025-05-23--16h-55m-30s-531554
9,11,SB,10,0,2025-05-23--16h-55m-30s-531554
9,10,SB,10,0,2025-05-23--16h-55m-30s-531554
11,12,SB,10,0,2025-05-23--16h-55m-30s-531554
10,12,SB,10,0,2025-05-23--16h-55m-30s-531554
10,11,DB_V,10,0,2025-05-23--16h-55m-30s-531554
1,9,C,10,0,2025-05-23--16h-55m-30s-531554
1,12,C,10,0,2025-05-23--16h-55m-30s-531554
1,11,C,10,0,2025-05-23--16h-55m-30s-531554
1,10,C,10,0,2025-05-23--16h-55m-30s-531554
1,4,DB_H,10,0,2025-05-23--16h-55m-30s-531554
1,7,SB,10,0,2025-05-23--16h-55m-30s-531554
1,2,SB,10,0,2025-05-23--16h-55m-30s-531554
4,9,C,10,0,2025-05-23--16h-55m-30s-531554
4,12,C,10,0,2025-05-23--16h-55m-30s-531554
4,11,C,10,0,2025-05-23--16h-55m-30s-531554
4,10,C,10,0,2025-05-23--16h-55m-30s-531554
4,7,SB,10,0,2025-05-23--16h-55m-30s-531554
