Unnamed: 0,Measurement Basis,TT,TR,RT,RR,T,R
0,H,419,57418,419,55223,838,112641
1,D,29750,29047,30796,26513,60546,55560
2,R,29904,28798,31158,25797,61062,54595
3,V,58924,534,57864,364,116788,898
4,A,29530,28632,29132,27936,58662,56568
5,L,29497,28915,29695,27583,59192,56498
