,Measurement Basis,TT,TR,RT,RR
0,H,81644,17983,117142,14430
1,D,79337,23666,111919,19047
2,R,30830,80841,62022,59819
3,V,14844,98721,22765,87236
4,A,19280,94889,20140,92164
5,L,67067,37456,67681,53259
