Unnamed: 0,Measurement Basis,TT,TR,RT,RR,T,R
0,H,65106,545,64676,395,129782,940
1,D,32149,31772,30792,34953,62941,66725
2,R,31192,33057,28646,37002,59838,70059
3,V,409,61239,502,65608,911,126847
4,A,33410,30097,32345,33800,65755,63897
5,L,34444,29503,33893,32593,68337,62096
