data_dir,C,DB_H,DB_V,SB,N,repetition,theta_estimate,delta_phi_estimate
2025-05-29--05h-16m-29s,1.0,25.0,0.0,14.0,40.0,,0.8956647938578649,0.2611574109030243
2025-05-29--05h-16m-29s,0.5,31.0,0.0,8.5,40.0,,0.6840812317953292,0.23794112483020827
2025-05-29--05h-16m-29s,1.5,31.0,2.0,5.5,40.0,,0.759761932507315,0.4812753739423435
2025-05-29--05h-16m-29s,1.0,27.0,1.0,11.0,40.0,,0.863211890069541,0.2928427717285755
2025-05-29--05h-16m-29s,0.5,31.0,2.0,6.5,40.0,,0.759761932507315,0.2705497629785729
2025-05-29--05h-16m-29s,1.5,29.0,0.0,9.5,40.0,,0.759761932507315,0.37822819233418564
2025-05-29--05h-16m-29s,1.5,31.0,1.0,6.5,40.0,,0.7227342478134156,0.4478323969289325
2025-05-29--05h-16m-29s,0.5,34.0,0.0,5.5,40.0,,0.5548110329800715,0.2928427717285755
2025-05-29--05h-16m-29s,1.5,31.0,1.0,6.5,40.0,,0.7227342478134156,0.4478323969289325
2025-05-29--05h-16m-29s,0.5,31.0,0.0,8.5,40.0,,0.6840812317953292,0.23794112483020827
2025-05-29--05h-16m-29s,1.0,31.0,2.0,6.0,40.0,,0.759761932507315,0.38759668665518066
2025-05-29--05h-16m-29s,3.0,30.0,0.0,7.0,40.0,,0.7227342478134156,0.5796397403637042
2025-05-29--05h-16m-29s,1.0,26.0,2.0,11.0,40.0,,0.9272952180016122,0.2928427717285755
2025-05-29--05h-16m-29s,1.0,32.0,1.0,6.0,40.0,,0.6840812317953292,0.38759668665518066
2025-05-29--05h-16m-29s,1.0,28.0,0.0,11.0,40.0,,0.7953988301841436,0.2928427717285755
2025-05-29--05h-16m-29s,1.0,28.0,3.0,8.0,40.0,,0.8956647938578649,0.339836909454122
2025-05-29--05h-16m-29s,0.5,31.0,0.0,8.5,40.0,,0.6840812317953292,0.23794112483020827
2025-05-29--05h-16m-29s,0.5,33.0,0.0,6.5,40.0,,0.6005941268660511,0.2705497629785729
2025-05-29--05h-16m-29s,2.0,30.0,0.0,8.0,40.0,,0.7227342478134156,0.4636476090008061
2025-05-29--05h-16m-29s,1.5,29.0,0.0,9.5,40.0,,0.759761932507315,0.37822819233418564
2025-05-29--05h-16m-29s,1.5,30.0,1.0,7.5,40.0,,0.759761932507315,0.4205343352839651
2025-05-29--05h-16m-29s,0.5,29.0,1.0,9.5,40.0,,0.7953988301841436,0.2255134058981312
2025-05-29--05h-16m-29s,1.0,32.0,1.0,6.0,40.0,,0.6840812317953292,0.38759668665518066
2025-05-29--05h-16m-29s,1.0,29.0,3.0,7.0,40.0,,0.863211890069541,0.3613671239067078
2025-05-29--05h-16m-29s,1.0,28.0,0.0,11.0,40.0,,0.7953988301841436,0.2928427717285755
2025-05-29--05h-16m-29s,0.5,30.0,1.0,8.5,40.0,,0.759761932507315,0.23794112483020827
2025-05-29--05h-16m-29s,0.5,30.0,2.0,7.5,40.0,,0.7953988301841436,0.25268025514207865
2025-05-29--05h-16m-29s,1.0,29.0,1.0,9.0,40.0,,0.7953988301841436,0.3217505543966422
2025-05-29--05h-16m-29s,1.5,28.0,0.0,10.5,40.0,,0.7953988301841436,0.3613671239067078
2025-05-29--05h-16m-29s,3.0,27.0,1.0,9.0,40.0,,0.863211890069541,0.5235987755982988
2025-05-29--05h-16m-29s,1.5,28.0,1.0,9.5,40.0,,0.8298316245918765,0.37822819233418564
2025-05-29--05h-16m-29s,2.5,28.0,1.0,8.5,40.0,,0.8298316245918765,0.4969324907792199
2025-05-29--05h-16m-29s,2.0,27.0,0.0,11.0,40.0,,0.8298316245918765,0.4030570744661132
2025-05-29--05h-16m-29s,1.5,29.0,0.0,9.5,40.0,,0.759761932507315,0.37822819233418564
2025-05-29--05h-16m-29s,0.0,35.0,1.0,4.0,40.0,,0.5548110329800715,0.0
2025-05-29--05h-16m-29s,0.0,30.0,1.0,9.0,40.0,,0.759761932507315,0.0
2025-05-29--05h-16m-29s,2.0,29.0,1.0,8.0,40.0,,0.7953988301841436,0.4636476090008061
2025-05-29--05h-16m-29s,2.5,29.0,3.0,5.5,40.0,,0.863211890069541,0.5931997761496287
2025-05-29--05h-16m-29s,0.5,28.0,0.0,11.5,40.0,,0.7953988301841436,0.20556893116117386
2025-05-29--05h-16m-29s,0.0,35.0,0.0,5.0,40.0,,0.5053605102841573,0.0
2025-05-29--05h-16m-29s,0.5,28.0,3.0,8.5,40.0,,0.8956647938578649,0.23794112483020827
2025-05-29--05h-16m-29s,0.5,30.0,2.0,7.5,40.0,,0.7953988301841436,0.25268025514207865
2025-05-29--05h-16m-29s,0.5,31.0,2.0,6.5,40.0,,0.759761932507315,0.2705497629785729
2025-05-29--05h-16m-29s,0.5,31.0,0.0,8.5,40.0,,0.6840812317953292,0.23794112483020827
2025-05-29--05h-16m-29s,1.0,63.0,2.0,14.0,80.0,,0.7036279027411377,0.2611574109030243
2025-05-29--05h-16m-29s,4.0,58.0,2.0,16.0,80.0,,0.7953988301841436,0.4636476090008061
2025-05-29--05h-16m-29s,1.5,61.0,3.0,14.5,80.0,,0.759761932507315,0.31118424427751035
2025-05-29--05h-16m-29s,1.5,62.0,2.0,14.5,80.0,,0.7227342478134156,0.31118424427751035
2025-05-29--05h-16m-29s,1.0,61.0,3.0,15.0,80.0,,0.759761932507315,0.25268025514207865
2025-05-29--05h-16m-29s,4.5,55.0,1.0,19.5,80.0,,0.8298316245918765,0.4478323969289325
2025-05-29--05h-16m-29s,2.0,63.0,3.0,12.0,80.0,,0.7227342478134156,0.38759668665518066
2025-05-29--05h-16m-29s,1.5,57.0,2.0,19.5,80.0,,0.8127555613686607,0.2705497629785729
2025-05-29--05h-16m-29s,2.5,63.0,0.0,14.5,80.0,,0.6640542772427502,0.393564135328064
2025-05-29--05h-16m-29s,2.5,54.0,0.0,23.5,80.0,,0.8298316245918765,0.3152843697997765
2025-05-29--05h-16m-29s,1.5,62.0,1.0,15.5,80.0,,0.7036279027411377,0.30159570280483483
2025-05-29--05h-16m-29s,1.0,57.0,2.0,20.0,80.0,,0.8127555613686607,0.21998797739545944
2025-05-29--05h-16m-29s,0.5,63.0,1.0,15.5,80.0,,0.6840812317953292,0.17771060084511175
2025-05-29--05h-16m-29s,1.0,63.0,1.0,15.0,80.0,,0.6840812317953292,0.25268025514207865
2025-05-29--05h-16m-29s,2.0,63.0,2.0,13.0,80.0,,0.7036279027411377,0.37379217483451044
2025-05-29--05h-16m-29s,2.0,52.0,0.0,26.0,80.0,,0.863211890069541,0.2705497629785729
2025-05-29--05h-16m-29s,1.0,60.0,3.0,16.0,80.0,,0.7777416141689957,0.24497866312686414
2025-05-29--05h-16m-29s,1.5,61.0,0.0,17.5,80.0,,0.7036279027411377,0.28481065953646517
2025-05-29--05h-16m-29s,2.0,59.0,4.0,15.0,80.0,,0.8127555613686607,0.3501057777671455
2025-05-29--05h-16m-29s,2.5,65.0,1.0,11.5,80.0,,0.6435011087932843,0.43628692671616837
2025-05-29--05h-16m-29s,2.5,60.0,0.0,17.5,80.0,,0.7227342478134156,0.3613671239067078
2025-05-29--05h-16m-29s,2.0,62.0,1.0,15.0,80.0,,0.7036279027411377,0.3501057777671455
2025-05-29--05h-16m-29s,3.0,52.0,3.0,22.0,80.0,,0.9115769233829636,0.35374160588967146
2025-05-29--05h-16m-29s,3.0,60.0,1.0,16.0,80.0,,0.7414352895876503,0.40863785509759243
2025-05-29--05h-16m-29s,2.0,56.0,5.0,17.0,80.0,,0.879547290121527,0.3304226479114834
2025-05-29--05h-16m-29s,1.0,64.0,2.0,13.0,80.0,,0.6840812317953292,0.2705497629785729
2025-05-29--05h-16m-29s,0.5,63.0,1.0,15.5,80.0,,0.6840812317953292,0.17771060084511175
2025-05-29--05h-16m-29s,1.0,63.0,1.0,15.0,80.0,,0.6840812317953292,0.25268025514207865
2025-05-29--05h-16m-29s,2.0,59.0,4.0,15.0,80.0,,0.8127555613686607,0.3501057777671455
2025-05-29--05h-16m-29s,2.0,59.0,2.0,17.0,80.0,,0.7777416141689957,0.3304226479114834
2025-05-29--05h-16m-29s,0.5,64.0,0.0,15.5,80.0,,0.6435011087932843,0.17771060084511175
2025-05-29--05h-16m-29s,3.5,53.0,4.0,19.5,80.0,,0.9115769233829636,0.40073449163587516
2025-05-29--05h-16m-29s,2.0,59.0,1.0,18.0,80.0,,0.759761932507315,0.3217505543966422
2025-05-29--05h-16m-29s,1.0,63.0,0.0,16.0,80.0,,0.6640542772427502,0.24497866312686414
2025-05-29--05h-16m-29s,1.0,59.0,1.0,19.0,80.0,,0.759761932507315,0.2255134058981312
2025-05-29--05h-16m-29s,2.0,59.0,1.0,18.0,80.0,,0.759761932507315,0.3217505543966422
2025-05-29--05h-16m-29s,1.0,56.0,3.0,20.0,80.0,,0.8466449633218115,0.21998797739545944
2025-05-29--05h-16m-29s,0.5,66.0,0.0,13.5,80.0,,0.6005941268660511,0.19012560334646678
2025-05-29--05h-16m-29s,2.5,63.0,0.0,14.5,80.0,,0.6640542772427502,0.393564135328064
2025-05-29--05h-16m-29s,0.0,59.0,5.0,16.0,80.0,,0.8298316245918765,0.0
2025-05-29--05h-16m-29s,1.5,62.0,2.0,14.5,80.0,,0.7227342478134156,0.31118424427751035
2025-05-29--05h-16m-29s,3.0,60.0,4.0,13.0,80.0,,0.7953988301841436,0.4478323969289325
2025-05-29--05h-16m-29s,3.0,59.0,2.0,16.0,80.0,,0.7777416141689957,0.40863785509759243
2025-05-29--05h-16m-29s,2.0,62.0,4.0,12.0,80.0,,0.759761932507315,0.38759668665518066
2025-05-29--05h-16m-29s,2.5,58.0,1.0,18.5,80.0,,0.7777416141689957,0.35227370922642254
2025-05-29--05h-16m-29s,1.0,59.0,3.0,17.0,80.0,,0.7953988301841436,0.23794112483020827
2025-05-29--05h-16m-29s,1.5,62.0,1.0,15.5,80.0,,0.7036279027411377,0.30159570280483483
2025-05-29--05h-16m-29s,1.5,57.0,1.0,20.5,80.0,,0.7953988301841436,0.26417863214512494
2025-05-29--05h-16m-29s,1.0,60.0,4.0,15.0,80.0,,0.7953988301841436,0.25268025514207865
2025-05-29--05h-16m-29s,3.0,59.0,3.0,15.0,80.0,,0.7953988301841436,0.4205343352839651
2025-05-29--05h-16m-29s,1.0,57.0,9.0,13.0,80.0,,0.9272952180016122,0.2705497629785729
2025-05-29--05h-16m-29s,3.0,53.0,4.0,20.0,80.0,,0.9115769233829636,0.36950893950695884
2025-05-29--05h-16m-29s,1.0,60.0,2.0,17.0,80.0,,0.759761932507315,0.23794112483020827
2025-05-29--05h-16m-29s,3.5,58.0,2.0,16.5,80.0,,0.7953988301841436,0.4316059450347705
2025-05-29--05h-16m-29s,1.0,62.0,1.0,16.0,80.0,,0.7036279027411377,0.24497866312686414
2025-05-29--05h-16m-29s,0.5,58.0,3.0,18.5,80.0,,0.8127555613686607,0.16294147861051939
2025-05-29--05h-16m-29s,0.0,61.0,4.0,15.0,80.0,,0.7777416141689957,0.0
2025-05-29--05h-16m-29s,4.5,60.0,0.0,15.5,80.0,,0.7227342478134156,0.4942160444630766
2025-05-29--05h-16m-29s,0.5,61.0,2.0,16.5,80.0,,0.7414352895876503,0.17235058989932303
2025-05-29--05h-16m-29s,1.0,62.0,2.0,15.0,80.0,,0.7227342478134156,0.25268025514207865
2025-05-29--05h-16m-29s,1.0,65.0,2.0,12.0,80.0,,0.6640542772427502,0.28103490150281357
2025-05-29--05h-16m-29s,1.0,61.0,3.0,15.0,80.0,,0.759761932507315,0.25268025514207865
2025-05-29--05h-16m-29s,0.5,58.0,3.0,18.5,80.0,,0.8127555613686607,0.16294147861051939
2025-05-29--05h-16m-29s,2.5,58.0,0.0,19.5,80.0,,0.759761932507315,0.343834825955561
2025-05-29--05h-16m-29s,2.0,62.0,2.0,14.0,80.0,,0.7227342478134156,0.3613671239067078
2025-05-29--05h-16m-29s,1.5,58.0,3.0,17.5,80.0,,0.8127555613686607,0.28481065953646517
2025-05-29--05h-16m-29s,3.0,60.0,1.0,16.0,80.0,,0.7414352895876503,0.40863785509759243
2025-05-29--05h-16m-29s,2.0,65.0,1.0,12.0,80.0,,0.6435011087932843,0.38759668665518066
2025-05-29--05h-16m-29s,1.5,62.0,2.0,14.5,80.0,,0.7227342478134156,0.31118424427751035
2025-05-29--05h-16m-29s,4.0,56.0,2.0,18.0,80.0,,0.8298316245918765,0.4405106630046985
2025-05-29--05h-16m-29s,2.0,60.0,1.0,17.0,80.0,,0.7414352895876503,0.3304226479114834
2025-05-29--05h-16m-29s,1.5,59.0,3.0,16.5,80.0,,0.7953988301841436,0.2928427717285755
2025-05-29--05h-16m-29s,2.5,63.0,0.0,14.5,80.0,,0.6640542772427502,0.393564135328064
2025-05-29--05h-16m-29s,3.0,59.0,1.0,17.0,80.0,,0.759761932507315,0.3976994150920718
2025-05-29--05h-16m-29s,1.5,61.0,2.0,15.5,80.0,,0.7414352895876503,0.30159570280483483
2025-05-29--05h-16m-29s,2.0,57.0,3.0,18.0,80.0,,0.8298316245918765,0.3217505543966422
2025-05-29--05h-16m-29s,1.0,60.0,3.0,16.0,80.0,,0.7777416141689957,0.24497866312686414
2025-05-29--05h-16m-29s,2.5,57.0,1.0,19.5,80.0,,0.7953988301841436,0.343834825955561
2025-05-29--05h-16m-29s,4.5,55.0,2.0,18.5,80.0,,0.8466449633218115,0.45819038227285996
2025-05-29--05h-16m-29s,4.5,55.0,1.0,19.5,80.0,,0.8298316245918765,0.4478323969289325
2025-05-29--05h-16m-29s,1.5,64.0,1.0,13.5,80.0,,0.6640542772427502,0.3217505543966422
2025-05-29--05h-16m-29s,2.0,59.0,2.0,17.0,80.0,,0.7777416141689957,0.3304226479114834
2025-05-29--05h-16m-29s,3.0,57.0,3.0,17.0,80.0,,0.8298316245918765,0.3976994150920718
2025-05-29--05h-16m-29s,0.5,63.0,3.0,13.5,80.0,,0.7227342478134156,0.19012560334646678
