,Measurement Basis,TT,TR,RT,RR
0,H,21792,128665,29878,112367
1,D,94920,54624,87457,70218
2,R,120882,26916,152913,16577
3,V,124723,22482,148086,21366
4,A,51742,97926,93311,64452
5,L,26187,124680,30024,116069
