,Measurement Basis,TT,TR,RT,RR
0,H,50658,57010,67948,50931
1,D,24636,89798,9722,96439
2,R,92639,9075,100382,27084
3,V,47355,60280,60883,54872
4,A,73289,29268,121642,8331
5,L,7040,108105,33230,77697
