Unnamed: 0,Measurement Basis,TT,TR,RT,RR,T,R
0,H,71561,74945,90632,65546,162193,140491
1,D,101723,44287,82020,72282,183743,116569
2,R,138078,6920,172662,1404,310740,8324
3,V,73006,74283,89210,67619,162216,141902
4,A,42710,105651,95091,63167,137801,168818
5,L,6711,141699,4069,133399,10780,275098
