data_dir,C',SB,VV,HH,N
2025-06-03--18h-22m-37s,64.0,1.0,14.0,81.0,160.0
2025-06-03--18h-22m-37s,56.0,3.0,18.0,83.0,160.0
2025-06-03--18h-22m-37s,51.0,5.0,14.0,90.0,160.0
2025-06-03--18h-22m-37s,57.0,1.0,15.0,87.0,160.0
2025-06-03--18h-22m-37s,67.0,0.0,9.0,84.0,160.0
2025-06-03--18h-22m-37s,57.0,4.0,14.0,85.0,160.0
2025-06-03--18h-22m-37s,61.0,2.0,15.0,82.0,160.0
2025-06-03--18h-22m-37s,60.0,1.0,19.0,80.0,160.0
2025-06-03--18h-22m-37s,70.0,2.0,6.0,82.0,160.0
2025-06-03--18h-22m-37s,58.0,2.0,11.0,89.0,160.0
2025-06-03--18h-22m-37s,63.0,6.0,10.0,81.0,160.0
2025-06-03--18h-22m-37s,44.0,2.0,17.0,97.0,160.0
2025-06-03--18h-22m-37s,57.0,0.0,9.0,94.0,160.0
2025-06-03--18h-22m-37s,49.0,0.0,8.0,103.0,160.0
2025-06-03--18h-22m-37s,58.0,2.0,14.0,86.0,160.0
2025-06-03--18h-22m-37s,63.0,4.0,11.0,82.0,160.0
2025-06-03--18h-22m-37s,49.0,0.0,18.0,93.0,160.0
2025-06-03--18h-22m-37s,64.0,5.0,12.0,79.0,160.0
2025-06-03--18h-22m-37s,58.0,2.0,19.0,81.0,160.0
2025-06-03--18h-22m-37s,58.0,1.0,13.0,88.0,160.0
2025-06-03--18h-22m-37s,61.0,2.0,7.0,90.0,160.0
2025-06-03--18h-22m-37s,53.0,5.0,15.0,87.0,160.0
2025-06-03--18h-22m-37s,60.0,0.0,12.0,88.0,160.0
2025-06-03--18h-22m-37s,48.0,1.0,12.0,99.0,160.0
2025-06-03--18h-22m-37s,52.0,1.0,12.0,95.0,160.0
2025-06-03--18h-22m-37s,60.0,2.0,13.0,85.0,160.0
2025-06-03--18h-22m-37s,60.0,2.0,13.0,85.0,160.0
2025-06-03--18h-22m-37s,64.0,3.0,5.0,88.0,160.0
2025-06-03--18h-22m-37s,70.0,2.0,8.0,80.0,160.0
2025-06-03--18h-22m-37s,65.0,1.0,19.0,75.0,160.0
2025-06-03--18h-22m-37s,56.0,2.0,13.0,89.0,160.0
2025-06-03--18h-22m-37s,60.0,5.0,10.0,85.0,160.0
2025-06-03--18h-22m-37s,54.0,1.0,10.0,95.0,160.0
2025-06-03--18h-22m-37s,60.0,4.0,21.0,75.0,160.0
2025-06-03--18h-22m-37s,65.0,2.0,12.0,81.0,160.0
2025-06-03--18h-22m-37s,55.0,1.0,15.0,89.0,160.0
2025-06-03--18h-22m-37s,62.0,3.0,7.0,88.0,160.0
2025-06-03--18h-22m-37s,60.0,3.0,20.0,77.0,160.0
2025-06-03--18h-22m-37s,63.0,2.0,9.0,86.0,160.0
2025-06-03--18h-22m-37s,63.0,4.0,12.0,81.0,160.0
2025-06-03--18h-22m-37s,53.0,4.0,11.0,92.0,160.0
2025-06-03--18h-22m-37s,67.0,4.0,8.0,81.0,160.0
2025-06-03--18h-22m-37s,52.0,4.0,11.0,93.0,160.0
2025-06-03--18h-22m-37s,63.0,1.0,6.0,90.0,160.0
2025-06-03--18h-22m-37s,54.0,1.0,17.0,88.0,160.0
2025-06-03--18h-22m-37s,51.0,0.0,9.0,100.0,160.0
2025-06-03--18h-22m-37s,60.0,6.0,21.0,73.0,160.0
2025-06-03--18h-22m-37s,53.0,3.0,16.0,88.0,160.0
2025-06-03--18h-22m-37s,56.0,1.0,6.0,97.0,160.0
2025-06-03--18h-22m-37s,56.0,2.0,15.0,87.0,160.0
2025-06-03--18h-22m-37s,58.0,1.0,15.0,86.0,160.0
2025-06-03--18h-22m-37s,56.0,1.0,18.0,85.0,160.0
2025-06-03--18h-22m-37s,61.0,0.0,15.0,84.0,160.0
2025-06-03--18h-22m-37s,70.0,3.0,11.0,76.0,160.0
2025-06-03--18h-22m-37s,56.0,2.0,13.0,89.0,160.0
2025-06-03--18h-22m-37s,56.0,3.0,8.0,93.0,160.0
2025-06-03--18h-22m-37s,42.0,1.0,19.0,98.0,160.0
2025-06-03--18h-22m-37s,45.0,2.0,18.0,95.0,160.0
2025-06-03--18h-22m-37s,60.0,0.0,14.0,86.0,160.0
2025-06-03--18h-22m-37s,58.0,2.0,8.0,92.0,160.0
2025-06-03--18h-22m-37s,53.0,6.0,14.0,87.0,160.0
2025-06-03--18h-22m-37s,62.0,1.0,11.0,86.0,160.0
2025-06-03--18h-22m-37s,65.0,4.0,16.0,75.0,160.0
2025-06-03--18h-22m-37s,66.0,1.0,12.0,81.0,160.0
2025-06-03--18h-22m-37s,66.0,4.0,11.0,79.0,160.0
2025-06-03--18h-22m-37s,51.0,3.0,16.0,90.0,160.0
2025-06-03--18h-22m-37s,48.0,0.0,6.0,106.0,160.0
2025-06-03--18h-22m-37s,64.0,3.0,5.0,88.0,160.0
2025-06-03--18h-22m-37s,53.0,3.0,11.0,93.0,160.0
2025-06-03--18h-22m-37s,68.0,1.0,11.0,80.0,160.0
2025-06-03--18h-22m-37s,53.0,1.0,11.0,95.0,160.0
2025-06-03--18h-22m-37s,60.0,3.0,15.0,82.0,160.0
2025-06-03--18h-22m-37s,52.0,3.0,15.0,90.0,160.0
2025-06-03--18h-22m-37s,52.0,4.0,13.0,91.0,160.0
2025-06-03--18h-22m-37s,55.0,1.0,9.0,95.0,160.0
2025-06-03--18h-22m-37s,60.0,2.0,14.0,84.0,160.0
2025-06-03--18h-22m-37s,69.0,0.0,6.0,85.0,160.0
2025-06-03--18h-22m-37s,55.0,2.0,16.0,87.0,160.0
2025-06-03--18h-22m-37s,52.0,1.0,15.0,92.0,160.0
2025-06-03--18h-22m-37s,52.0,1.0,14.0,93.0,160.0
2025-06-03--18h-22m-37s,55.0,0.0,16.0,89.0,160.0
2025-06-03--18h-22m-37s,53.0,2.0,11.0,94.0,160.0
2025-06-03--18h-22m-37s,61.0,2.0,11.0,86.0,160.0
2025-06-03--18h-22m-37s,60.0,1.0,7.0,92.0,160.0
2025-06-03--18h-22m-37s,69.0,1.0,15.0,75.0,160.0
2025-06-03--18h-22m-37s,62.0,5.0,15.0,78.0,160.0
2025-06-03--18h-22m-37s,47.0,2.0,13.0,98.0,160.0
2025-06-03--18h-22m-37s,63.0,2.0,14.0,81.0,160.0
2025-06-03--18h-22m-37s,55.0,1.0,17.0,87.0,160.0
2025-06-03--18h-22m-37s,55.0,2.0,6.0,97.0,160.0
2025-06-03--18h-22m-37s,59.0,3.0,13.0,85.0,160.0
2025-06-03--18h-22m-37s,65.0,3.0,16.0,76.0,160.0
2025-06-03--18h-22m-37s,50.0,2.0,15.0,93.0,160.0
2025-06-03--18h-22m-37s,63.0,2.0,13.0,82.0,160.0
2025-06-03--18h-22m-37s,51.0,2.0,12.0,95.0,160.0
