,Measurement Basis,TT,TR,RT,RR
0,H,44617,78582,43744,65752
1,D,89702,34140,69622,49606
2,R,113841,9819,130281,2948
3,V,79415,45166,92092,33216
4,A,33207,90228,66843,51001
5,L,10070,115037,5553,97877
