Unnamed: 0,basis,TT,TR,RT,RR,T,R
0,HH,45565,37,55,0,45620,37
1,HD,20692,17,25117,10,45809,27
2,HR,20853,8,24519,26,45372,34
3,DH,22027,21207,21,13,22048,21220
4,DD,10379,9684,12648,11745,23027,21429
5,DR,10259,9918,12182,11648,22441,21566
6,RH,22191,21080,11,17,22202,21097
7,RD,10183,9662,12557,11486,22740,21148
8,RR,10447,9909,12351,11417,22798,21326
