,basis,TT,TR,RT,RR
0,HH,45565,37,55,0
1,HD,20692,17,25117,10
2,HR,20853,8,24519,26
3,DH,22027,21207,21,13
4,DD,10379,9684,12648,11745
5,DR,10259,9918,12182,11648
6,RH,22191,21080,11,17
7,RD,10183,9662,12557,11486
8,RR,10447,9909,12351,11417
