,Measurement Basis,TT,TR,RT,RR
0,H,306,151521,4278,132096
1,D,76531,74184,95111,62751
2,R,75244,74954,97598,61689
3,V,147761,508,174289,965
4,A,71195,78628,86779,68930
5,L,73680,77288,88516,67596
