,Measurement Basis,TT,TR,RT,RR
0,H,43599,80518,45083,66424
1,D,117283,6412,111033,18173
2,R,81257,43461,114940,16193
3,V,79755,43300,94727,29880
4,A,5944,117250,24965,83286
5,L,43453,81111,22850,83830
