Unnamed: 0,Measurement Basis,TT,TR,RT,RR,T,R
0,H,34642,27563,29240,26680,63882,54243
1,D,37615,24483,20878,34248,58493,58731
2,R,62460,1320,55554,1421,118014,2741
3,V,28922,33093,27239,28386,56161,61479
4,A,25442,36359,35139,20590,60581,56949
5,L,1180,59262,1423,53823,2603,113085
