detector_a_name,detector_b_name,estimation_label,repetition,coincidences,timestamp
9,12,DB_H,0,0,2025-05-23--16h-54m-55s-411567
9,11,SB,0,0,2025-05-23--16h-54m-55s-411567
9,10,SB,0,0,2025-05-23--16h-54m-55s-411567
11,12,SB,0,0,2025-05-23--16h-54m-55s-411567
10,12,SB,0,0,2025-05-23--16h-54m-55s-411567
10,11,DB_V,0,0,2025-05-23--16h-54m-55s-411567
1,9,C,0,0,2025-05-23--16h-54m-55s-411567
1,12,C,0,0,2025-05-23--16h-54m-55s-411567
1,11,C,0,0,2025-05-23--16h-54m-55s-411567
1,10,C,0,0,2025-05-23--16h-54m-55s-411567
1,4,DB_H,0,1,2025-05-23--16h-54m-55s-411567
1,7,SB,0,0,2025-05-23--16h-54m-55s-411567
1,2,SB,0,0,2025-05-23--16h-54m-55s-411567
4,9,C,0,0,2025-05-23--16h-54m-55s-411567
4,12,C,0,0,2025-05-23--16h-54m-55s-411567
4,11,C,0,0,2025-05-23--16h-54m-55s-411567
4,10,C,0,0,2025-05-23--16h-54m-55s-411567
4,7,SB,0,0,2025-05-23--16h-54m-55s-411567
7,9,C,0,0,2025-05-23--16h-54m-55s-411567
7,12,C,0,0,2025-05-23--16h-54m-55s-411567
7,11,C,0,0,2025-05-23--16h-54m-55s-411567
7,10,C,0,0,2025-05-23--16h-54m-55s-411567
2,9,C,0,0,2025-05-23--16h-54m-55s-411567
2,12,C,0,0,2025-05-23--16h-54m-55s-411567
2,11,C,0,0,2025-05-23--16h-54m-55s-411567
2,10,C,0,0,2025-05-23--16h-54m-55s-411567
2,4,SB,0,0,2025-05-23--16h-54m-55s-411567
2,7,DB_V,0,0,2025-05-23--16h-54m-55s-411567
9,12,DB_H,2,0,2025-05-23--16h-54m-55s-459066
9,11,SB,2,0,2025-05-23--16h-54m-55s-459066
9,10,SB,2,0,2025-05-23--16h-54m-55s-459066
11,12,SB,2,0,2025-05-23--16h-54m-55s-459066
10,12,SB,2,0,2025-05-23--16h-54m-55s-459066
10,11,DB_V,2,0,2025-05-23--16h-54m-55s-459066
1,9,C,2,0,2025-05-23--16h-54m-55s-459066
1,12,C,2,0,2025-05-23--16h-54m-55s-459066
1,11,C,2,0,2025-05-23--16h-54m-55s-459066
1,10,C,2,0,2025-05-23--16h-54m-55s-459066
1,4,DB_H,2,2,2025-05-23--16h-54m-55s-459066
1,7,SB,2,0,2025-05-23--16h-54m-55s-459066
1,2,SB,2,0,2025-05-23--16h-54m-55s-459066
4,9,C,2,0,2025-05-23--16h-54m-55s-459066
4,12,C,2,0,2025-05-23--16h-54m-55s-459066
4,11,C,2,0,2025-05-23--16h-54m-55s-459066
4,10,C,2,0,2025-05-23--16h-54m-55s-459066
4,7,SB,2,0,2025-05-23--16h-54m-55s-459066
7,9,C,2,0,2025-05-23--16h-54m-55s-459066
7,12,C,2,0,2025-05-23--16h-54m-55s-459066
7,11,C,2,0,2025-05-23--16h-54m-55s-459066
7,10,C,2,0,2025-05-23--16h-54m-55s-459066
2,9,C,2,0,2025-05-23--16h-54m-55s-459066
2,12,C,2,0,2025-05-23--16h-54m-55s-459066
2,11,C,2,0,2025-05-23--16h-54m-55s-459066
2,10,C,2,0,2025-05-23--16h-54m-55s-459066
2,4,SB,2,0,2025-05-23--16h-54m-55s-459066
2,7,DB_V,2,0,2025-05-23--16h-54m-55s-459066
9,12,DB_H,3,1,2025-05-23--16h-54m-55s-477485
9,11,SB,3,1,2025-05-23--16h-54m-55s-477485
9,10,SB,3,0,2025-05-23--16h-54m-55s-477485
