detector_a_name,detector_b_name,tomography_setting_t,tomography_setting_r,repetition,coincidences,timestamp
9,12,H,H,0,1,2025-05-30--12h-33m-22s-335535
9,11,H,H,0,0,2025-05-30--12h-33m-22s-335535
9,10,H,H,0,0,2025-05-30--12h-33m-22s-335535
11,12,H,H,0,0,2025-05-30--12h-33m-22s-335535
10,12,H,H,0,0,2025-05-30--12h-33m-22s-335535
10,11,H,H,0,0,2025-05-30--12h-33m-22s-335535
1,9,H,H,0,0,2025-05-30--12h-33m-22s-335535
1,12,H,H,0,0,2025-05-30--12h-33m-22s-335535
1,11,H,H,0,0,2025-05-30--12h-33m-22s-335535
1,10,H,H,0,0,2025-05-30--12h-33m-22s-335535
1,4,H,H,0,1,2025-05-30--12h-33m-22s-335535
1,7,H,H,0,0,2025-05-30--12h-33m-22s-335535
1,2,H,H,0,0,2025-05-30--12h-33m-22s-335535
4,9,H,H,0,0,2025-05-30--12h-33m-22s-335535
4,12,H,H,0,0,2025-05-30--12h-33m-22s-335535
4,11,H,H,0,0,2025-05-30--12h-33m-22s-335535
4,10,H,H,0,0,2025-05-30--12h-33m-22s-335535
4,7,H,H,0,0,2025-05-30--12h-33m-22s-335535
7,9,H,H,0,0,2025-05-30--12h-33m-22s-335535
7,12,H,H,0,0,2025-05-30--12h-33m-22s-335535
7,11,H,H,0,0,2025-05-30--12h-33m-22s-335535
7,10,H,H,0,0,2025-05-30--12h-33m-22s-335535
2,9,H,H,0,0,2025-05-30--12h-33m-22s-335535
2,12,H,H,0,0,2025-05-30--12h-33m-22s-335535
2,11,H,H,0,0,2025-05-30--12h-33m-22s-335535
2,10,H,H,0,0,2025-05-30--12h-33m-22s-335535
2,4,H,H,0,0,2025-05-30--12h-33m-22s-335535
2,7,H,H,0,0,2025-05-30--12h-33m-22s-335535
9,12,H,H,1,0,2025-05-30--12h-33m-22s-362299
9,11,H,H,1,0,2025-05-30--12h-33m-22s-362299
9,10,H,H,1,0,2025-05-30--12h-33m-22s-362299
11,12,H,H,1,0,2025-05-30--12h-33m-22s-362299
10,12,H,H,1,0,2025-05-30--12h-33m-22s-362299
10,11,H,H,1,0,2025-05-30--12h-33m-22s-362299
1,9,H,H,1,0,2025-05-30--12h-33m-22s-362299
1,12,H,H,1,0,2025-05-30--12h-33m-22s-362299
1,11,H,H,1,0,2025-05-30--12h-33m-22s-362299
1,10,H,H,1,0,2025-05-30--12h-33m-22s-362299
1,4,H,H,1,0,2025-05-30--12h-33m-22s-362299
1,7,H,H,1,0,2025-05-30--12h-33m-22s-362299
1,2,H,H,1,0,2025-05-30--12h-33m-22s-362299
4,9,H,H,1,0,2025-05-30--12h-33m-22s-362299
4,12,H,H,1,0,2025-05-30--12h-33m-22s-362299
4,11,H,H,1,0,2025-05-30--12h-33m-22s-362299
4,10,H,H,1,0,2025-05-30--12h-33m-22s-362299
4,7,H,H,1,0,2025-05-30--12h-33m-22s-362299
7,9,H,H,1,0,2025-05-30--12h-33m-22s-362299
7,12,H,H,1,0,2025-05-30--12h-33m-22s-362299
7,11,H,H,1,0,2025-05-30--12h-33m-22s-362299
7,10,H,H,1,0,2025-05-30--12h-33m-22s-362299
2,9,H,H,1,0,2025-05-30--12h-33m-22s-362299
2,12,H,H,1,0,2025-05-30--12h-33m-22s-362299
2,11,H,H,1,0,2025-05-30--12h-33m-22s-362299
2,10,H,H,1,0,2025-05-30--12h-33m-22s-362299
2,4,H,H,1,0,2025-05-30--12h-33m-22s-362299
2,7,H,H,1,0,2025-05-30--12h-33m-22s-362299
9,12,H,H,2,0,2025-05-30--12h-33m-22s-382174
9,11,H,H,2,0,2025-05-30--12h-33m-22s-382174
9,10,H,H,2,0,2025-05-30--12h-33m-22s-382174
11,12,H,H,2,0,2025-05-30--12h-33m-22s-382174
10,12,H,H,2,0,2025-05-30--12h-33m-22s-382174
10,11,H,H,2,0,2025-05-30--12h-33m-22s-382174
1,9,H,H,2,0,2025-05-30--12h-33m-22s-382174
1,12,H,H,2,0,2025-05-30--12h-33m-22s-382174
1,11,H,H,2,0,2025-05-30--12h-33m-22s-382174
1,10,H,H,2,0,2025-05-30--12h-33m-22s-382174
1,4,H,H,2,1,2025-05-30--12h-33m-22s-382174
1,7,H,H,2,0,2025-05-30--12h-33m-22s-382174
1,2,H,H,2,0,2025-05-30--12h-33m-22s-382174
4,9,H,H,2,0,2025-05-30--12h-33m-22s-382174
4,12,H,H,2,0,2025-05-30--12h-33m-22s-382174
4,11,H,H,2,0,2025-05-30--12h-33m-22s-382174
4,10,H,H,2,0,2025-05-30--12h-33m-22s-382174
4,7,H,H,2,0,2025-05-30--12h-33m-22s-382174
7,9,H,H,2,0,2025-05-30--12h-33m-22s-382174
7,12,H,H,2,0,2025-05-30--12h-33m-22s-382174
7,11,H,H,2,0,2025-05-30--12h-33m-22s-382174
7,10,H,H,2,0,2025-05-30--12h-33m-22s-382174
2,9,H,H,2,0,2025-05-30--12h-33m-22s-382174
2,12,H,H,2,0,2025-05-30--12h-33m-22s-382174
2,11,H,H,2,0,2025-05-30--12h-33m-22s-382174
2,10,H,H,2,0,2025-05-30--12h-33m-22s-382174
2,4,H,H,2,0,2025-05-30--12h-33m-22s-382174
2,7,H,H,2,0,2025-05-30--12h-33m-22s-382174
9,12,H,H,3,0,2025-05-30--12h-33m-22s-401928
9,11,H,H,3,0,2025-05-30--12h-33m-22s-401928
9,10,H,H,3,0,2025-05-30--12h-33m-22s-401928
11,12,H,H,3,0,2025-05-30--12h-33m-22s-401928
10,12,H,H,3,0,2025-05-30--12h-33m-22s-401928
10,11,H,H,3,0,2025-05-30--12h-33m-22s-401928
1,9,H,H,3,0,2025-05-30--12h-33m-22s-401928
1,12,H,H,3,0,2025-05-30--12h-33m-22s-401928
1,11,H,H,3,0,2025-05-30--12h-33m-22s-401928
1,10,H,H,3,0,2025-05-30--12h-33m-22s-401928
1,4,H,H,3,0,2025-05-30--12h-33m-22s-401928
1,7,H,H,3,0,2025-05-30--12h-33m-22s-401928
1,2,H,H,3,0,2025-05-30--12h-33m-22s-401928
4,9,H,H,3,0,2025-05-30--12h-33m-22s-401928
4,12,H,H,3,0,2025-05-30--12h-33m-22s-401928
4,11,H,H,3,0,2025-05-30--12h-33m-22s-401928
4,10,H,H,3,0,2025-05-30--12h-33m-22s-401928
4,7,H,H,3,0,2025-05-30--12h-33m-22s-401928
7,9,H,H,3,0,2025-05-30--12h-33m-22s-401928
7,12,H,H,3,0,2025-05-30--12h-33m-22s-401928
7,11,H,H,3,0,2025-05-30--12h-33m-22s-401928
7,10,H,H,3,0,2025-05-30--12h-33m-22s-401928
2,9,H,H,3,0,2025-05-30--12h-33m-22s-401928
2,12,H,H,3,0,2025-05-30--12h-33m-22s-401928
2,11,H,H,3,0,2025-05-30--12h-33m-22s-401928
2,10,H,H,3,0,2025-05-30--12h-33m-22s-401928
2,4,H,H,3,0,2025-05-30--12h-33m-22s-401928
2,7,H,H,3,0,2025-05-30--12h-33m-22s-401928
9,12,H,H,4,1,2025-05-30--12h-33m-22s-421177
9,11,H,H,4,0,2025-05-30--12h-33m-22s-421177
9,10,H,H,4,0,2025-05-30--12h-33m-22s-421177
11,12,H,H,4,0,2025-05-30--12h-33m-22s-421177
10,12,H,H,4,0,2025-05-30--12h-33m-22s-421177
