,Measurement Basis,TT,TR,RT,RR
0,H,32150,29154,26572,29178
1,D,1264,59594,1261,53896
2,R,38561,23595,22346,33373
3,V,30847,31197,28077,27665
4,A,61106,1319,55138,1038
5,L,24423,37355,35269,21213
