Unnamed: 0,Measurement Basis,TT,TR,RT,RR,T,R
0,H,32150,29154,26572,29178,58722,58332
1,D,1264,59594,1261,53896,2525,113490
2,R,38561,23595,22346,33373,60907,56968
3,V,30847,31197,28077,27665,58924,58862
4,A,61106,1319,55138,1038,116244,2357
5,L,24423,37355,35269,21213,59692,58568
