Unnamed: 0,Measurement Basis,TT,TR,RT,RR,T,R
0,H,36525,39225,40702,33960,77227,73185
1,D,17141,62620,6846,60370,23987,122990
2,R,65718,6600,66584,17378,132302,23978
3,V,33651,43269,43769,33010,77420,76279
4,A,52805,20646,80006,5605,132811,26251
5,L,5405,75921,21963,49166,27368,125087
