angle,singles,coincidences
0.0,638.0,130
10.0,1371.0,282
20.0,1884.0,415
30.0,1981.0,437
40.0,1778.0,389
-3.960408316800663,468.0,86
-1.9604083168006632,578.0,128
0.03959168319933681,684.0,122
2.039591683199337,848.0,154
4.039591683199337,939.0,184
6.039591683199337,1095.0,225
8.039591683199337,1188.0,239
10.039591683199337,1377.0,281
12.039591683199337,1532.0,322
14.039591683199337,1641.0,359
23.539591683199337,2013.0,437
25.539591683199337,2004.0,462
27.539591683199337,2040.0,427
29.539591683199337,2089.0,451
31.539591683199337,1973.0,402
