,Measurement Basis,TT,TR,RT,RR
0,H,31742,32391,31632,33932
1,D,1205,61753,7856,57687
2,R,26088,38451,12264,52754
3,V,34248,30853,31741,33743
4,A,64277,1125,56980,7867
5,L,40088,24973,53299,12152
