data_dir,C,DB_H,DB_V,SB,N
2025-05-30--18h-53m-42s,3.0,1.0,188.0,9.0,201.0
2025-05-30--18h-53m-42s,4.0,0.0,191.0,7.0,202.0
2025-05-30--18h-53m-42s,3.0,0.0,188.0,9.0,200.0
2025-05-30--18h-53m-42s,3.5,0.0,191.0,8.0,202.5
2025-05-30--18h-53m-42s,5.0,0.0,188.0,6.0,199.0
2025-05-30--18h-53m-42s,7.5,0.0,184.0,8.0,199.5
2025-05-30--18h-53m-42s,3.5,0.0,187.0,7.5,198.0
2025-05-30--18h-53m-42s,1.0,0.0,193.0,6.5,200.5
2025-05-30--18h-53m-42s,4.0,0.0,188.0,7.5,199.5
2025-05-30--18h-53m-42s,3.5,0.0,184.0,12.5,200.0
2025-05-30--18h-53m-42s,1.5,0.0,189.0,10.5,201.0
2025-05-30--18h-53m-42s,2.0,1.0,188.0,9.5,200.5
2025-05-30--18h-53m-42s,6.5,0.0,182.0,9.5,198.0
2025-05-30--18h-53m-42s,3.5,0.0,184.0,12.5,200.0
2025-05-30--18h-53m-42s,4.5,0.0,187.0,8.5,200.0
2025-05-30--18h-53m-42s,3.5,0.0,185.0,12.0,200.5
2025-05-30--18h-53m-42s,5.0,1.0,184.0,7.0,197.0
2025-05-30--18h-53m-42s,2.5,1.0,185.0,11.5,200.0
2025-05-30--18h-53m-42s,3.5,0.0,183.0,11.0,197.5
2025-05-30--18h-53m-42s,2.5,0.0,187.0,12.5,202.0
2025-05-30--18h-53m-42s,2.0,0.0,190.0,8.5,200.5
2025-05-30--18h-53m-42s,2.5,0.0,185.0,12.5,200.0
2025-05-30--18h-53m-42s,2.5,0.0,185.0,9.5,197.0
2025-05-30--18h-53m-42s,3.5,0.0,187.0,7.5,198.0
2025-05-30--18h-53m-42s,2.5,0.0,189.0,10.5,202.0
2025-05-30--18h-53m-42s,4.0,0.0,187.0,9.5,200.5
2025-05-30--18h-53m-42s,2.5,0.0,185.0,10.5,198.0
2025-05-30--18h-53m-42s,2.5,0.0,189.0,7.5,199.0
2025-05-30--18h-53m-42s,1.5,0.0,192.0,7.0,200.5
2025-05-30--18h-53m-42s,4.0,0.0,189.0,9.0,202.0
2025-05-30--18h-53m-42s,4.0,0.0,184.0,9.0,197.0
2025-05-30--18h-53m-42s,2.5,0.0,187.0,8.5,198.0
2025-05-30--18h-53m-42s,3.0,0.0,186.0,10.0,199.0
2025-05-30--18h-53m-42s,3.5,0.0,184.0,11.0,198.5
2025-05-30--18h-53m-42s,3.0,0.0,187.0,7.5,197.5
