Unnamed: 0,Measurement Basis,TT,TR,RT,RR,T,R
0,H,41022,38794,40079,33119,81101,71913
1,D,43584,36008,27399,43975,70983,79983
2,R,79029,1201,81573,3501,160602,4702
3,V,38095,42864,43942,30831,82037,73695
4,A,35206,45728,57929,21204,93135,66932
5,L,834,79703,3906,61036,4740,140739
