,Measurement Basis,TT,TR,RT,RR
0,H,65684,534,65204,372
1,D,32564,31437,30539,35587
2,R,32618,31532,30229,36326
3,V,396,61048,443,65419
4,A,33251,30462,32719,33097
5,L,33347,30706,32516,33781
