,Measurement Basis,TT,TR,RT,RR
0,H,73033,74642,85131,66061
1,D,516,150020,10237,126070
2,R,74999,73359,46376,97864
3,V,72271,76362,77820,71331
4,A,144137,925,157481,8542
5,L,70868,77256,121619,37314
