Unnamed: 0,Measurement Basis,TT,TR,RT,RR,T,R
0,H,33287,31571,33433,31816,66720,63387
1,D,65902,1055,57511,7043,123413,8098
2,R,27204,37751,13079,52393,40283,90144
3,V,33030,32574,28810,36719,61840,69293
4,A,993,61569,7034,58322,8027,119891
5,L,39736,25767,51159,13257,90895,39024
